seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
789,FT,freeze_cnn,60,0.010000,1080,1,1,82096,77312,4.490053,0.000000,80.066667,79.900000,48.233333,65.883333,73.450000,79.033333,48.233333,57.300000,64.366667,70.083333,65.883333,73.266667,78.583333,82.750000,73.450000,80.066667,84.650000,88.166667,79.033333,84.700000,88.300000,90.950000,3.520635,17.086270,47.933333,65.116667,73.150000,78.533333,47.950000,57.183333,64.500000,69.633333,65.116667,72.766667,78.433333,82.483333,73.150000,79.900000,84.183333,87.716667,78.533333,84.350000,88.083333,90.683333,3.561482,17.317780
789,FT,freeze_cnn,60,0.010000,1080,2,2,82096,77312,4.490053,0.000000,86.766667,86.850000,52.150000,71.633333,81.133333,86.600000,52.150000,60.633333,67.650000,73.050000,71.633333,78.450000,83.516667,87.316667,81.133333,86.766667,90.583333,93.050000,86.600000,91.066667,93.850000,95.466667,3.111333,16.751312,51.883333,70.850000,80.516667,86.016667,51.883333,60.666667,68.250000,73.500000,70.850000,78.216667,83.466667,87.066667,80.516667,86.850000,90.300000,92.533333,86.016667,91.100000,93.583333,95.283333,3.007231,16.578475
789,FT,freeze_cnn,60,0.010000,1080,3,3,82096,77312,4.490053,0.000000,88.950000,89.133333,55.583333,74.666667,84.016667,88.666667,55.583333,64.550000,71.283333,76.316667,74.683333,81.533333,86.083333,89.100000,84.033333,88.950000,91.900000,93.933333,88.666667,92.816667,95.250000,96.583333,2.901620,17.660576,55.766667,74.383333,83.433333,87.950000,55.766667,64.933333,71.583333,76.300000,74.383333,81.583333,86.050000,88.950000,83.433333,89.133333,92.050000,94.066667,87.950000,92.850000,94.983333,96.400000,2.842916,17.344552
789,FT,freeze_cnn,60,0.010000,1080,5,5,82096,77312,4.490053,0.000000,90.633333,91.233333,59.983333,79.183333,86.816667,90.700000,59.983333,69.400000,75.950000,80.683333,79.183333,84.933333,88.533333,91.166667,86.816667,90.633333,93.050000,94.716667,90.700000,93.416667,95.283333,96.600000,2.275302,14.021738,58.816667,78.300000,86.666667,90.516667,58.833333,69.116667,76.000000,80.750000,78.300000,84.400000,88.166667,90.466667,86.666667,91.233333,93.516667,94.766667,90.516667,93.883333,95.666667,96.650000,2.254262,14.034528
789,FT,freeze_cnn,60,0.010000,1080,8,7,82096,77312,4.490053,0.000000,93.466667,93.100000,64.450000,83.216667,90.116667,93.750000,64.466667,74.250000,80.383333,84.400000,83.216667,88.516667,91.366667,93.366667,90.116667,93.466667,95.150000,96.466667,93.750000,95.916667,97.000000,97.766667,1.758547,10.905406,63.816667,82.116667,88.966667,93.233333,63.833333,74.166667,80.016667,84.016667,82.116667,87.850000,90.766667,92.783333,88.966667,93.100000,95.000000,96.150000,93.233333,95.866667,96.883333,97.666667,1.795230,11.258083
789,FT,freeze_cnn,60,0.010000,1080,10,7,82096,77312,4.490053,0.000000,93.466667,93.100000,64.450000,83.216667,90.116667,93.750000,64.466667,74.250000,80.383333,84.400000,83.216667,88.516667,91.366667,93.366667,90.116667,93.466667,95.150000,96.466667,93.750000,95.916667,97.000000,97.766667,1.758547,10.905406,63.816667,82.116667,88.966667,93.233333,63.833333,74.166667,80.016667,84.016667,82.116667,87.850000,90.766667,92.783333,88.966667,93.100000,95.000000,96.150000,93.233333,95.866667,96.883333,97.666667,1.795230,11.258083
789,FT,freeze_cnn,60,0.010000,1080,12,12,82096,77312,4.490053,0.000000,94.116667,94.316667,67.233333,84.316667,91.100000,94.283333,67.250000,76.383333,81.750000,85.316667,84.316667,89.150000,91.700000,93.583333,91.100000,94.116667,95.800000,96.850000,94.283333,96.283333,97.500000,98.133333,1.714067,11.150439,66.666667,83.766667,90.950000,94.266667,66.666667,76.350000,81.783333,84.966667,83.766667,88.966667,91.683333,93.216667,90.950000,94.316667,95.866667,96.850000,94.266667,96.566667,97.466667,98.100000,1.751681,11.674293
