setb_order,beam_name,az_deg,el_deg,az_idx,el_idx,tx_index,setb_pattern
0,B0,-7.5,143.75,3,3,27,2
1,B1,-22.5,131.25,2,2,18,2
2,B2,-37.5,118.75,1,1,9,2
3,B3,-52.5,106.25,0,0,0,2
4,B4,52.5,143.75,7,3,31,2
5,B5,37.5,131.25,6,2,22,2
6,B6,22.5,118.75,5,1,13,2
7,B7,7.5,106.25,4,0,4,2
