epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,2.032294,2.032294,0.000000,93.833333,94.100000,0.441227,63.683333,82.550000,89.983333,93.983333,63.683333,72.866667,78.533333,82.050000,82.550000,88.350000,91.783333,93.950000,89.983333,93.833333,96.166667,97.400000,93.983333,96.666667,98.066667,98.750000,1.941178,12.216350,62.533333,81.683333,89.883333,93.966667,62.533333,72.133333,77.883333,81.816667,81.683333,87.916667,90.950000,93.333333,89.883333,94.100000,96.083333,97.566667,93.966667,96.900000,98.216667,98.983333,1.950107,12.274973
2,1.012829,1.012829,0.000000,95.816667,95.616667,0.405791,67.750000,85.750000,92.783333,95.966667,67.750000,76.683333,81.850000,85.383333,85.750000,91.033333,93.700000,95.500000,92.783333,95.816667,97.433333,98.183333,95.966667,97.700000,98.683333,99.100000,1.632191,10.932854,66.016667,85.266667,92.366667,95.566667,66.016667,75.183333,80.916667,84.866667,85.266667,90.633333,93.200000,95.166667,92.366667,95.616667,97.083333,98.066667,95.566667,97.733333,98.516667,99.133333,1.624534,10.136198
3,0.817015,0.817015,0.000000,96.500000,96.366667,0.409514,70.283333,87.516667,93.766667,96.633333,70.283333,78.900000,83.600000,86.683333,87.516667,92.216667,94.700000,96.033333,93.766667,96.500000,97.850000,98.500000,96.633333,98.233333,98.916667,99.200000,1.452888,9.880810,68.733333,87.300000,93.683333,96.233333,68.733333,77.800000,82.816667,86.250000,87.300000,92.050000,94.133333,95.783333,93.683333,96.366667,97.500000,98.366667,96.233333,98.016667,98.750000,99.266667,1.447446,9.369030
4,0.703751,0.703751,0.000000,97.016667,96.616667,0.427165,70.316667,87.800000,94.166667,97.000000,70.316667,79.233333,83.833333,86.850000,87.800000,92.550000,94.933333,96.266667,94.166667,97.016667,98.183333,98.783333,97.000000,98.466667,99.066667,99.350000,1.446718,10.010290,68.966667,88.033333,93.966667,96.400000,68.966667,78.050000,83.200000,86.466667,88.033333,92.583333,94.733333,96.233333,93.966667,96.616667,97.766667,98.566667,96.400000,98.183333,98.883333,99.350000,1.398974,8.972542
5,0.641690,0.641690,0.000000,97.016667,96.716667,0.412702,70.366667,88.016667,94.400000,96.800000,70.366667,79.566667,84.350000,87.416667,88.016667,92.450000,94.850000,96.200000,94.400000,97.016667,98.233333,98.716667,96.800000,98.316667,99.016667,99.300000,1.364564,8.987130,68.700000,88.016667,94.083333,96.400000,68.700000,78.366667,83.600000,87.183333,88.016667,92.300000,94.483333,96.033333,94.083333,96.716667,97.650000,98.433333,96.400000,98.100000,98.783333,99.233333,1.335653,8.444032
6,0.609848,0.609848,0.000000,97.016667,96.916667,0.408818,70.650000,88.650000,94.383333,96.800000,70.650000,79.200000,83.483333,86.350000,88.650000,93.183333,95.266667,96.450000,94.383333,97.016667,98.116667,98.733333,96.800000,98.366667,99.033333,99.316667,1.475937,10.222708,69.250000,88.900000,94.233333,96.600000,69.250000,78.266667,83.200000,86.433333,88.900000,92.983333,95.050000,96.450000,94.233333,96.916667,97.883333,98.650000,96.600000,98.283333,98.950000,99.350000,1.421929,9.170111
7,0.582000,0.582000,0.000000,96.916667,96.950000,0.409993,71.383333,88.183333,94.333333,96.783333,71.383333,80.383333,84.666667,87.733333,88.183333,92.700000,94.866667,96.133333,94.333333,96.916667,98.150000,98.633333,96.783333,98.433333,99.100000,99.316667,1.346273,8.886963,69.950000,88.550000,94.416667,96.533333,69.950000,79.150000,84.283333,87.700000,88.550000,92.900000,94.866667,96.300000,94.416667,96.950000,97.900000,98.600000,96.533333,98.266667,98.933333,99.300000,1.286779,7.978683
8,0.544256,0.544256,0.000000,97.066667,97.016667,0.430972,71.216667,88.550000,94.516667,96.816667,71.216667,80.166667,84.733333,87.666667,88.550000,93.216667,95.366667,96.450000,94.516667,97.066667,98.250000,98.750000,96.816667,98.383333,99.150000,99.400000,1.357261,9.421158,70.766667,88.883333,94.416667,96.600000,70.766667,79.350000,84.400000,87.500000,88.883333,93.100000,95.200000,96.650000,94.416667,97.016667,97.916667,98.633333,96.600000,98.166667,98.900000,99.300000,1.301326,8.191558
9,0.520947,0.520947,0.000000,96.933333,96.883333,0.414660,71.783333,88.866667,94.466667,96.683333,71.783333,80.816667,85.200000,88.283333,88.866667,93.250000,95.316667,96.500000,94.466667,96.933333,98.033333,98.683333,96.683333,98.433333,99.166667,99.400000,1.314139,8.803776,70.200000,89.250000,94.116667,96.700000,70.200000,79.300000,84.450000,87.666667,89.250000,93.416667,95.316667,96.700000,94.116667,96.883333,97.916667,98.650000,96.700000,98.266667,98.983333,99.383333,1.301705,8.265392
10,0.502608,0.502608,0.000000,97.066667,97.066667,0.414145,71.750000,88.333333,94.433333,96.750000,71.750000,80.716667,85.150000,88.116667,88.333333,92.966667,95.050000,96.316667,94.433333,97.066667,98.033333,98.683333,96.750000,98.450000,99.200000,99.433333,1.327182,9.167858,70.850000,88.933333,94.433333,96.700000,70.850000,79.783333,84.883333,87.966667,88.933333,93.233333,95.166667,96.483333,94.433333,97.066667,98.066667,98.766667,96.700000,98.266667,98.966667,99.366667,1.283379,8.467445
