seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
789,FT,freeze_head,80,0.030000,3240,1,1,82096,4784,9.381526,0.000000,69.783333,70.066667,38.466667,54.266667,62.750000,70.433333,38.466667,46.283333,52.666667,58.333333,54.283333,61.433333,67.166667,72.183333,62.766667,69.783333,75.266667,79.600000,70.450000,76.800000,81.716667,86.066667,5.107220,19.806241,38.700000,54.783333,63.683333,71.183333,38.700000,45.616667,52.633333,58.300000,54.783333,61.366667,67.883333,72.900000,63.683333,70.066667,75.750000,79.916667,71.183333,77.433333,82.150000,86.100000,5.204033,20.281639
789,FT,freeze_head,80,0.030000,3240,2,1,82096,4784,9.381526,0.000000,69.783333,70.066667,38.466667,54.266667,62.750000,70.433333,38.466667,46.283333,52.666667,58.333333,54.283333,61.433333,67.166667,72.183333,62.766667,69.783333,75.266667,79.600000,70.450000,76.800000,81.716667,86.066667,5.107220,19.806241,38.700000,54.783333,63.683333,71.183333,38.700000,45.616667,52.633333,58.300000,54.783333,61.366667,67.883333,72.900000,63.683333,70.066667,75.750000,79.916667,71.183333,77.433333,82.150000,86.100000,5.204033,20.281639
789,FT,freeze_head,80,0.030000,3240,3,3,82096,4784,9.381526,0.000000,76.216667,76.933333,45.133333,62.916667,69.566667,76.100000,45.150000,53.733333,60.916667,67.083333,62.933333,70.150000,75.483333,79.616667,69.566667,76.216667,80.500000,83.900000,76.100000,81.483333,84.766667,87.466667,4.039110,18.484207,45.683333,62.616667,70.133333,76.866667,45.700000,54.566667,62.283333,67.933333,62.616667,70.050000,76.016667,79.983333,70.133333,76.933333,81.866667,84.966667,76.866667,82.283333,85.850000,88.333333,3.879228,18.248268
789,FT,freeze_head,80,0.030000,3240,5,5,82096,4784,9.381526,0.000000,82.283333,82.550000,49.350000,69.000000,77.333333,82.350000,49.366667,58.316667,65.050000,71.033333,69.016667,75.950000,80.400000,84.066667,77.350000,82.283333,85.183333,87.800000,82.350000,86.283333,88.616667,90.766667,3.404756,17.353283,49.600000,68.516667,77.366667,82.616667,49.616667,58.200000,65.466667,71.033333,68.516667,75.216667,80.533333,84.450000,77.366667,82.550000,86.000000,88.233333,82.616667,86.650000,89.000000,90.733333,3.339422,17.273433
789,FT,freeze_head,80,0.030000,3240,8,8,82096,4784,9.381526,0.000000,86.533333,86.666667,53.800000,72.800000,81.883333,87.216667,53.816667,63.200000,69.850000,75.133333,72.816667,78.950000,82.766667,86.083333,81.900000,86.533333,88.783333,90.783333,87.216667,90.683333,92.250000,93.633333,2.792062,15.914604,54.266667,73.116667,81.683333,87.083333,54.283333,62.983333,69.866667,74.833333,73.116667,79.200000,83.750000,86.716667,81.683333,86.666667,89.383333,91.066667,87.083333,90.583333,92.516667,93.766667,2.818367,15.996173
789,FT,freeze_head,80,0.030000,3240,10,9,82096,4784,9.381526,0.000000,87.383333,87.650000,53.850000,73.266667,82.983333,88.383333,53.850000,63.066667,69.566667,74.783333,73.283333,79.266667,82.933333,86.066667,83.000000,87.383333,89.566667,91.433333,88.383333,91.750000,93.150000,94.316667,2.820627,15.991210,54.283333,73.050000,82.983333,88.416667,54.300000,63.183333,69.900000,74.600000,73.050000,78.966667,83.416667,86.533333,82.983333,87.650000,90.366667,92.000000,88.416667,91.866667,93.483333,94.566667,2.810375,15.808811
789,FT,freeze_head,80,0.030000,3240,12,11,82096,4784,9.381526,0.000000,88.350000,88.666667,55.533333,74.916667,83.950000,89.016667,55.533333,65.083333,71.400000,76.366667,74.916667,80.833333,84.283333,87.183333,83.966667,88.350000,90.383333,92.000000,89.016667,92.066667,93.566667,94.683333,2.681762,15.815510,56.000000,74.866667,84.000000,88.983333,56.016667,64.983333,71.533333,76.233333,74.866667,80.833333,85.116667,87.933333,84.000000,88.666667,90.883333,92.366667,88.983333,92.333333,93.883333,94.933333,2.653613,15.481455
