seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
789,FT,freeze_cnn,20,0.020000,2160,1,1,82096,77312,5.361257,0.000000,97.066667,97.050000,71.333333,88.883333,94.866667,96.933333,71.350000,81.066667,86.233333,89.433333,88.883333,93.100000,95.416667,96.816667,94.866667,97.066667,98.200000,98.833333,96.933333,98.316667,99.016667,99.366667,1.141571,7.025293,71.450000,88.950000,94.216667,96.433333,71.466667,81.133333,86.300000,89.066667,88.966667,93.700000,95.933333,97.066667,94.216667,97.050000,98.183333,98.783333,96.433333,98.183333,98.933333,99.300000,1.141133,7.143425
789,FT,freeze_cnn,20,0.020000,2160,2,2,82096,77312,5.361257,0.000000,97.316667,97.583333,74.716667,90.150000,95.433333,97.400000,74.733333,84.133333,88.850000,91.566667,90.150000,94.266667,96.283333,97.450000,95.433333,97.316667,98.366667,98.883333,97.400000,98.566667,99.150000,99.400000,0.918989,5.510493,75.466667,90.383333,95.033333,96.783333,75.483333,85.100000,89.600000,92.050000,90.383333,94.766667,96.633333,97.616667,95.033333,97.583333,98.500000,98.883333,96.783333,98.416667,99.066667,99.366667,0.898363,5.462527
789,FT,freeze_cnn,20,0.020000,2160,3,3,82096,77312,5.361257,0.000000,97.516667,97.616667,74.700000,90.500000,95.550000,97.583333,74.716667,83.900000,88.700000,91.333333,90.516667,94.566667,96.583333,97.566667,95.550000,97.516667,98.516667,98.950000,97.583333,98.716667,99.300000,99.466667,0.937520,5.682608,75.466667,90.733333,95.150000,97.033333,75.483333,85.083333,89.416667,91.783333,90.733333,95.150000,96.733333,97.683333,95.150000,97.616667,98.500000,98.866667,97.033333,98.550000,99.150000,99.400000,0.916057,5.525608
789,FT,freeze_cnn,20,0.020000,2160,5,5,82096,77312,5.361257,0.000000,97.750000,97.816667,75.633333,91.250000,96.116667,97.716667,75.650000,84.833333,89.266667,91.783333,91.250000,95.100000,96.816667,97.850000,96.116667,97.750000,98.600000,99.050000,97.716667,98.783333,99.300000,99.550000,0.878342,5.332538,76.183333,91.000000,95.583333,97.283333,76.200000,85.433333,89.400000,91.933333,91.000000,95.316667,96.933333,97.883333,95.583333,97.816667,98.666667,99.016667,97.283333,98.733333,99.283333,99.483333,0.877138,5.215329
789,FT,freeze_cnn,20,0.020000,2160,8,6,82096,77312,5.361257,0.000000,97.866667,97.766667,76.050000,91.516667,96.300000,97.850000,76.066667,85.183333,89.866667,92.333333,91.516667,95.116667,96.783333,97.833333,96.300000,97.866667,98.633333,99.050000,97.850000,98.783333,99.266667,99.500000,0.830319,4.983434,76.283333,91.133333,95.700000,97.400000,76.300000,85.866667,89.983333,92.450000,91.133333,95.450000,96.983333,97.916667,95.700000,97.766667,98.633333,99.000000,97.400000,98.800000,99.333333,99.516667,0.816351,4.868359
789,FT,freeze_cnn,20,0.020000,2160,10,10,82096,77312,5.361257,0.000000,97.883333,98.000000,76.100000,91.500000,96.283333,97.950000,76.116667,85.033333,89.550000,91.933333,91.500000,95.200000,96.900000,97.816667,96.283333,97.883333,98.600000,99.050000,97.950000,98.883333,99.333333,99.516667,0.872945,5.336703,76.383333,91.516667,95.750000,97.616667,76.400000,85.800000,89.900000,92.383333,91.516667,95.766667,97.183333,98.016667,95.750000,98.000000,98.733333,99.116667,97.616667,98.916667,99.366667,99.516667,0.820330,4.784247
789,FT,freeze_cnn,20,0.020000,2160,12,10,82096,77312,5.361257,0.000000,97.883333,98.000000,76.100000,91.500000,96.283333,97.950000,76.116667,85.033333,89.550000,91.933333,91.500000,95.200000,96.900000,97.816667,96.283333,97.883333,98.600000,99.050000,97.950000,98.883333,99.333333,99.516667,0.872945,5.336703,76.383333,91.516667,95.750000,97.616667,76.400000,85.800000,89.900000,92.383333,91.516667,95.766667,97.183333,98.016667,95.750000,98.000000,98.733333,99.116667,97.616667,98.916667,99.366667,99.516667,0.820330,4.784247
