seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
456,MAX-SETB,none,0,0.000000,0,0,0,0,0,0.000000,0.005818,33.433333,34.383333,24.600000,24.600000,24.600000,24.600000,24.600000,33.433333,42.683333,52.100000,24.600000,33.433333,42.683333,52.100000,24.600000,33.433333,42.683333,52.100000,24.600000,33.433333,42.683333,52.100000,3.957346,12.730608,24.800000,24.800000,24.800000,24.800000,24.800000,34.383333,44.566667,54.616667,24.800000,34.383333,44.566667,54.616667,24.800000,34.383333,44.566667,54.616667,24.800000,34.383333,44.566667,54.616667,3.831214,12.545965
456,NN-ANGLE,none,0,0.000000,0,0,0,0,0,0.000000,0.010862,68.883333,69.666667,24.600000,45.733333,61.166667,65.733333,24.600000,33.433333,42.683333,52.100000,45.733333,53.383333,60.633333,67.183333,61.166667,68.883333,76.133333,81.566667,65.733333,72.633333,79.266667,84.100000,3.957346,12.730608,24.800000,46.533333,61.616667,66.700000,24.800000,34.383333,44.566667,54.616667,46.533333,54.950000,62.416667,68.900000,61.616667,69.666667,76.650000,81.666667,66.700000,73.366667,79.716667,84.116667,3.831214,12.545965
456,MAX-SETB,none,20,0.000000,0,0,0,0,0,0.000000,0.003787,12.066667,12.383333,6.766667,6.766667,6.766667,6.766667,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.377405,14.605769,6.633333,6.633333,6.633333,6.633333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.351207,14.629789
456,NN-ANGLE,none,20,0.000000,0,0,0,0,0,0.000000,0.010450,43.733333,43.783333,6.766667,32.633333,36.800000,38.250000,6.766667,12.066667,19.366667,27.800000,32.633333,39.150000,45.933333,52.683333,36.800000,43.733333,51.316667,58.066667,38.250000,45.483333,53.316667,60.100000,6.377405,14.605769,6.633333,33.400000,36.983333,38.300000,6.633333,12.383333,19.866667,28.383333,33.400000,39.983333,46.850000,53.166667,36.983333,43.783333,51.166667,57.533333,38.300000,45.066667,52.766667,59.466667,6.351207,14.629789
456,MAX-SETB,none,40,0.000000,0,0,0,0,0,0.000000,0.003312,12.066667,12.383333,6.766667,6.766667,6.766667,6.766667,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.382510,14.639363,6.633333,6.633333,6.633333,6.633333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.352819,14.629789
456,NN-ANGLE,none,40,0.000000,0,0,0,0,0,0.000000,0.010423,43.550000,43.666667,6.766667,32.466667,36.633333,38.083333,6.766667,12.066667,19.366667,27.800000,32.466667,38.966667,45.733333,52.483333,36.633333,43.550000,51.116667,57.866667,38.083333,45.300000,53.116667,59.900000,6.382510,14.639363,6.633333,33.283333,36.866667,38.183333,6.633333,12.383333,19.866667,28.383333,33.283333,39.866667,46.716667,53.033333,36.866667,43.666667,51.033333,57.400000,38.183333,44.950000,52.633333,59.333333,6.352819,14.629789
456,MAX-SETB,none,60,0.000000,0,0,0,0,0,0.000000,0.003646,12.066667,12.383333,6.766667,6.766667,6.766667,6.766667,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.382510,14.639363,6.633333,6.633333,6.633333,6.633333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.352819,14.629789
456,NN-ANGLE,none,60,0.000000,0,0,0,0,0,0.000000,0.010464,43.550000,43.666667,6.766667,32.466667,36.633333,38.083333,6.766667,12.066667,19.366667,27.800000,32.466667,38.966667,45.733333,52.483333,36.633333,43.550000,51.116667,57.866667,38.083333,45.300000,53.116667,59.900000,6.382510,14.639363,6.633333,33.283333,36.866667,38.183333,6.633333,12.383333,19.866667,28.383333,33.283333,39.866667,46.716667,53.033333,36.866667,43.666667,51.033333,57.400000,38.183333,44.950000,52.633333,59.333333,6.352819,14.629789
456,MAX-SETB,none,80,0.000000,0,0,0,0,0,0.000000,0.003296,12.066667,12.383333,6.766667,6.766667,6.766667,6.766667,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.382510,14.639363,6.633333,6.633333,6.633333,6.633333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.352819,14.629789
456,NN-ANGLE,none,80,0.000000,0,0,0,0,0,0.000000,0.010308,43.550000,43.666667,6.766667,32.466667,36.633333,38.083333,6.766667,12.066667,19.366667,27.800000,32.466667,38.966667,45.733333,52.483333,36.633333,43.550000,51.116667,57.866667,38.083333,45.300000,53.116667,59.900000,6.382510,14.639363,6.633333,33.283333,36.866667,38.183333,6.633333,12.383333,19.866667,28.383333,33.283333,39.866667,46.716667,53.033333,36.866667,43.666667,51.033333,57.400000,38.183333,44.950000,52.633333,59.333333,6.352819,14.629789
456,MAX-SETB,none,100,0.000000,0,0,0,0,0,0.000000,0.003582,12.066667,12.383333,6.766667,6.766667,6.766667,6.766667,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.766667,12.066667,19.366667,27.800000,6.382510,14.639363,6.633333,6.633333,6.633333,6.633333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.633333,12.383333,19.866667,28.383333,6.352819,14.629789
456,NN-ANGLE,none,100,0.000000,0,0,0,0,0,0.000000,0.010385,43.550000,43.666667,6.766667,32.466667,36.633333,38.083333,6.766667,12.066667,19.366667,27.800000,32.466667,38.966667,45.733333,52.483333,36.633333,43.550000,51.116667,57.866667,38.083333,45.300000,53.116667,59.900000,6.382510,14.639363,6.633333,33.283333,36.866667,38.183333,6.633333,12.383333,19.866667,28.383333,33.283333,39.866667,46.716667,53.033333,36.866667,43.666667,51.033333,57.400000,38.183333,44.950000,52.633333,59.333333,6.352819,14.629789
