seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
789,FT,freeze_cnn,100,0.030000,3240,1,1,82096,77312,5.106966,0.000000,90.800000,89.883333,52.250000,74.200000,84.950000,89.883333,52.266667,61.450000,68.916667,74.966667,74.200000,82.333333,88.016667,91.150000,84.950000,90.800000,94.333333,96.166667,89.883333,94.033333,96.533333,97.916667,2.685252,14.230962,51.950000,74.083333,83.916667,89.733333,51.950000,61.533333,69.566667,75.433333,74.083333,81.900000,87.333333,90.866667,83.916667,89.883333,93.783333,95.466667,89.733333,94.066667,96.483333,97.583333,2.665027,14.272809
789,FT,freeze_cnn,100,0.030000,3240,2,2,82096,77312,5.106966,0.000000,94.366667,94.000000,63.116667,82.583333,89.766667,93.333333,63.116667,73.666667,80.400000,85.333333,82.583333,88.733333,92.550000,94.833333,89.766667,94.366667,96.600000,97.833333,93.333333,96.616667,98.216667,98.950000,1.614558,9.830647,62.683333,83.133333,89.416667,93.316667,62.683333,72.733333,79.633333,84.666667,83.133333,89.050000,92.566667,94.966667,89.416667,94.000000,96.350000,97.450000,93.316667,96.550000,97.983333,98.683333,1.688028,10.721120
789,FT,freeze_cnn,100,0.030000,3240,3,3,82096,77312,5.106966,0.000000,94.816667,94.916667,64.900000,84.483333,91.316667,94.316667,64.900000,74.983333,81.866667,86.450000,84.483333,89.833333,93.250000,95.283333,91.316667,94.816667,96.850000,97.966667,94.316667,97.083333,98.400000,99.083333,1.501134,9.384830,65.033333,84.666667,91.183333,94.550000,65.033333,75.283333,82.166667,86.300000,84.666667,90.233333,93.333333,95.166667,91.183333,94.916667,96.716667,97.766667,94.550000,97.016667,98.183333,98.716667,1.457839,8.947661
789,FT,freeze_cnn,100,0.030000,3240,5,5,82096,77312,5.106966,0.000000,96.016667,96.083333,68.233333,86.666667,93.133333,95.666667,68.233333,78.300000,84.600000,88.350000,86.666667,91.566667,94.316667,95.950000,93.133333,96.016667,97.666667,98.300000,95.666667,97.650000,98.750000,99.183333,1.250787,7.695579,68.016667,86.816667,92.983333,95.566667,68.033333,78.366667,84.616667,88.250000,86.816667,92.116667,94.666667,96.033333,92.983333,96.083333,97.300000,97.933333,95.566667,97.800000,98.566667,98.966667,1.275366,7.558630
789,FT,freeze_cnn,100,0.030000,3240,8,7,82096,77312,5.106966,0.000000,96.516667,96.283333,69.600000,87.683333,93.500000,96.116667,69.600000,79.283333,84.833333,88.533333,87.683333,92.633333,95.216667,96.583333,93.500000,96.516667,97.966667,98.600000,96.116667,98.000000,98.850000,99.216667,1.260565,7.686452,69.516667,87.533333,93.200000,95.966667,69.516667,79.316667,85.016667,88.566667,87.533333,92.600000,95.266667,96.516667,93.200000,96.283333,97.650000,98.233333,95.966667,98.000000,98.700000,99.133333,1.223783,6.996957
789,FT,freeze_cnn,100,0.030000,3240,10,7,82096,77312,5.106966,0.000000,96.516667,96.283333,69.600000,87.683333,93.500000,96.116667,69.600000,79.283333,84.833333,88.533333,87.683333,92.633333,95.216667,96.583333,93.500000,96.516667,97.966667,98.600000,96.116667,98.000000,98.850000,99.216667,1.260565,7.686452,69.516667,87.533333,93.200000,95.966667,69.516667,79.316667,85.016667,88.566667,87.533333,92.600000,95.266667,96.516667,93.200000,96.283333,97.650000,98.233333,95.966667,98.000000,98.700000,99.133333,1.223783,6.996957
789,FT,freeze_cnn,100,0.030000,3240,12,11,82096,77312,5.106966,0.000000,96.533333,96.316667,70.333333,88.183333,93.650000,96.216667,70.333333,79.983333,85.250000,89.033333,88.183333,92.850000,95.383333,96.833333,93.650000,96.533333,97.900000,98.633333,96.216667,97.966667,98.916667,99.316667,1.206766,7.465405,70.650000,87.766667,93.450000,96.216667,70.666667,80.433333,85.416667,88.816667,87.766667,92.533333,95.066667,96.316667,93.450000,96.316667,97.683333,98.316667,96.216667,98.066667,98.800000,99.150000,1.189946,7.022200
