epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,3.644120,3.644120,0.000000,84.433333,85.633333,0.500237,48.883333,69.766667,79.066667,84.050000,48.883333,57.550000,64.716667,71.000000,69.766667,76.366667,81.666667,85.516667,79.066667,84.433333,88.083333,90.933333,84.050000,88.200000,91.150000,93.316667,3.151117,16.668000,49.916667,71.316667,79.900000,85.450000,49.933333,59.450000,67.083333,73.366667,71.316667,78.500000,83.666667,87.216667,79.900000,85.633333,89.366667,91.916667,85.450000,89.816667,92.566667,94.366667,2.922311,16.293401
2,1.655000,1.655000,0.000000,87.766667,89.033333,0.551709,49.716667,72.416667,83.083333,88.200000,49.716667,58.533333,66.033333,72.066667,72.416667,79.033333,83.933333,87.050000,83.083333,87.766667,90.800000,92.883333,88.200000,91.733333,93.866667,95.266667,3.175994,17.737937,50.016667,73.766667,83.766667,88.833333,50.033333,59.366667,66.983333,72.916667,73.766667,81.083333,86.016667,89.366667,83.766667,89.033333,92.116667,94.100000,88.833333,92.866667,95.083333,96.333333,3.116592,17.614091
3,1.346582,1.346582,0.000000,90.583333,92.166667,0.511172,54.050000,76.683333,86.283333,91.150000,54.050000,63.350000,70.533333,76.333333,76.683333,82.950000,87.166667,89.416667,86.283333,90.583333,93.033333,94.433333,91.150000,93.966667,95.550000,96.633333,2.558287,14.507946,54.583333,77.433333,87.100000,91.700000,54.600000,64.883333,71.950000,77.283333,77.450000,84.216667,88.200000,90.866667,87.116667,92.166667,94.333333,95.800000,91.700000,95.050000,96.616667,97.500000,2.488169,14.492385
4,1.185984,1.185984,0.000000,91.650000,92.783333,0.512532,61.533333,80.366667,88.083333,92.166667,61.533333,71.483333,78.383333,83.216667,80.366667,85.916667,89.483333,91.750000,88.083333,91.650000,93.733333,95.000000,92.166667,94.550000,95.866667,96.716667,1.855435,12.150620,62.083333,81.433333,88.916667,93.250000,62.083333,72.300000,79.783333,84.450000,81.433333,87.300000,91.016667,93.150000,88.916667,92.783333,94.850000,96.050000,93.250000,95.833333,97.000000,97.766667,1.741860,10.879750
5,1.037123,1.037123,0.000000,92.216667,93.316667,0.508919,61.466667,81.066667,88.883333,92.983333,61.466667,71.750000,78.466667,83.066667,81.066667,86.616667,90.183333,92.133333,88.883333,92.216667,94.250000,95.400000,92.983333,95.050000,96.183333,97.033333,1.827465,10.836423,62.733333,82.583333,89.483333,93.650000,62.733333,73.350000,80.550000,84.850000,82.583333,88.433333,91.883333,93.883333,89.483333,93.316667,95.166667,96.350000,93.650000,95.966667,97.083333,97.850000,1.706041,10.040593
6,0.998834,0.998834,0.000000,93.150000,94.166667,0.519188,60.700000,81.500000,89.616667,93.600000,60.700000,70.133333,76.750000,81.400000,81.500000,87.233333,90.833333,92.766667,89.616667,93.150000,95.083333,96.116667,93.600000,95.766667,96.883333,97.533333,1.895081,10.674710,61.716667,82.366667,90.100000,94.183333,61.733333,72.200000,78.850000,83.250000,82.383333,88.416667,91.766667,93.566667,90.116667,94.166667,95.883333,96.916667,94.183333,96.600000,97.550000,98.116667,1.768554,10.304994
7,0.933614,0.933614,0.000000,93.200000,94.383333,0.514944,65.183333,83.016667,90.066667,93.966667,65.183333,75.050000,81.466667,85.300000,83.016667,88.283333,91.566667,93.266667,90.066667,93.200000,94.950000,96.050000,93.966667,95.766667,96.683333,97.500000,1.587786,9.758417,65.716667,84.166667,90.850000,94.516667,65.716667,76.266667,83.100000,86.966667,84.166667,89.800000,92.916667,94.600000,90.850000,94.383333,96.016667,97.016667,94.516667,96.516667,97.600000,98.216667,1.469280,8.853815
8,0.852012,0.852012,0.000000,93.716667,94.683333,0.513036,65.116667,83.250000,90.533333,94.350000,65.116667,74.500000,80.600000,84.850000,83.250000,88.633333,91.816667,93.466667,90.533333,93.716667,95.450000,96.366667,94.350000,96.133333,97.050000,97.733333,1.640955,10.649738,65.350000,83.900000,91.066667,94.666667,65.350000,75.316667,82.100000,86.283333,83.900000,89.783333,92.816667,94.583333,91.066667,94.683333,96.366667,97.383333,94.666667,96.850000,97.733333,98.366667,1.527920,9.423869
9,0.845812,0.845812,0.000000,93.750000,94.750000,0.514266,61.850000,82.400000,90.416667,94.483333,61.850000,71.033333,76.966667,81.416667,82.400000,88.033333,91.266667,93.133333,90.416667,93.750000,95.416667,96.466667,94.483333,96.266667,97.366667,97.966667,1.859518,11.182648,62.916667,83.400000,91.250000,94.533333,62.933333,72.633333,78.866667,83.166667,83.416667,89.450000,92.600000,94.266667,91.266667,94.750000,96.233333,97.233333,94.533333,96.850000,97.866667,98.466667,1.775235,10.681013
10,0.822521,0.822521,0.000000,93.650000,94.850000,0.508300,64.316667,83.233333,90.633333,94.516667,64.316667,73.950000,79.900000,84.150000,83.233333,88.333333,91.633333,93.566667,90.633333,93.650000,95.283333,96.333333,94.516667,96.183333,97.116667,97.850000,1.639826,10.086260,65.016667,84.600000,91.666667,94.900000,65.016667,75.000000,81.733333,85.833333,84.600000,90.033333,93.200000,95.083333,91.666667,94.850000,96.350000,97.366667,94.900000,96.816667,97.716667,98.333333,1.489870,8.937249
