epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,4.476969,4.476969,0.000000,89.650000,90.316667,0.610549,54.200000,75.833333,84.650000,88.600000,54.200000,64.150000,72.216667,78.666667,75.833333,82.383333,87.116667,90.633333,84.650000,89.650000,92.666667,94.916667,88.600000,92.766667,95.150000,96.916667,2.376180,13.755565,53.733333,75.500000,84.966667,89.250000,53.750000,64.816667,73.200000,79.733333,75.500000,82.650000,87.500000,90.916667,84.966667,90.316667,93.650000,95.500000,89.250000,93.266667,95.733333,97.116667,2.336223,13.200664
2,1.398799,1.398799,0.000000,92.933333,93.283333,0.620446,59.850000,79.500000,88.700000,92.800000,59.866667,70.083333,77.783333,82.600000,79.500000,86.216667,90.533333,93.316667,88.700000,92.933333,95.333333,96.900000,92.800000,95.883333,97.433333,98.366667,2.006069,12.353595,59.083333,80.000000,88.600000,92.800000,59.100000,70.000000,77.533333,82.700000,80.000000,87.000000,90.983333,93.600000,88.600000,93.283333,95.600000,96.916667,92.800000,96.266667,97.716667,98.300000,2.070417,13.017274
3,1.107906,1.107906,0.000000,93.983333,94.283333,0.616523,63.116667,82.533333,89.916667,93.716667,63.116667,72.866667,79.400000,83.966667,82.533333,88.650000,92.316667,94.533333,89.916667,93.983333,96.033333,97.433333,93.716667,96.550000,97.950000,98.700000,1.712010,10.424075,63.416667,82.283333,90.000000,93.916667,63.433333,74.033333,80.666667,85.400000,82.300000,88.583333,92.183333,94.316667,90.000000,94.283333,96.500000,97.666667,93.916667,96.850000,98.216667,98.916667,1.623734,9.702732
4,0.985131,0.985131,0.000000,94.600000,95.233333,0.612562,65.550000,84.333333,91.216667,94.316667,65.550000,75.366667,81.600000,85.883333,84.333333,89.866667,93.000000,94.950000,91.216667,94.600000,96.383333,97.466667,94.316667,96.916667,98.000000,98.616667,1.551400,9.853611,65.483333,84.866667,91.616667,95.050000,65.500000,75.750000,82.350000,86.350000,84.866667,90.316667,93.266667,95.133333,91.616667,95.233333,97.000000,97.866667,95.050000,97.333333,98.366667,98.883333,1.510739,9.318630
5,0.904460,0.904460,0.000000,95.300000,95.800000,0.637407,67.383333,85.716667,92.066667,95.483333,67.383333,77.683333,83.900000,87.916667,85.716667,90.616667,93.566667,95.316667,92.066667,95.300000,96.716667,97.733333,95.483333,97.550000,98.350000,98.766667,1.333783,8.315989,67.533333,85.883333,92.433333,95.533333,67.550000,77.950000,83.833333,87.900000,85.883333,91.016667,93.883333,95.600000,92.433333,95.800000,97.283333,98.000000,95.533333,97.683333,98.566667,98.983333,1.352870,8.203521
6,0.847214,0.847214,0.000000,95.583333,96.000000,0.612050,68.566667,86.033333,92.366667,95.466667,68.566667,78.416667,84.400000,88.333333,86.033333,90.966667,93.716667,95.466667,92.366667,95.583333,97.083333,98.050000,95.466667,97.650000,98.533333,99.000000,1.268979,7.845284,68.083333,86.483333,92.950000,95.650000,68.100000,78.466667,83.966667,87.883333,86.483333,91.366667,94.250000,95.816667,92.950000,96.000000,97.616667,98.316667,95.650000,97.716667,98.666667,99.083333,1.350864,8.240730
7,0.803613,0.803613,0.000000,95.766667,96.116667,0.600696,68.816667,86.466667,92.566667,95.583333,68.816667,78.300000,84.016667,87.583333,86.466667,91.216667,93.716667,95.266667,92.566667,95.766667,97.133333,98.016667,95.583333,97.533333,98.550000,99.050000,1.377386,8.699588,68.666667,86.583333,93.000000,95.900000,68.683333,78.583333,84.133333,87.600000,86.600000,91.450000,94.016667,95.500000,93.000000,96.116667,97.616667,98.300000,95.900000,97.933333,98.766667,99.150000,1.413514,9.059887
8,0.757293,0.757293,0.000000,96.000000,96.483333,0.611840,68.550000,87.100000,92.900000,95.783333,68.550000,78.433333,84.800000,88.433333,87.100000,91.833333,94.316667,95.750000,92.900000,96.000000,97.383333,98.166667,95.783333,97.816667,98.733333,99.200000,1.301790,8.052958,68.333333,86.866667,93.283333,96.300000,68.350000,78.816667,85.016667,88.550000,86.866667,91.783333,94.533333,95.950000,93.283333,96.483333,97.866667,98.416667,96.300000,98.300000,98.966667,99.283333,1.288802,7.843346
9,0.742060,0.742060,0.000000,96.000000,96.433333,0.617385,69.366667,87.033333,92.883333,95.800000,69.366667,79.166667,85.266667,88.950000,87.033333,91.866667,94.466667,95.883333,92.883333,96.000000,97.433333,98.216667,95.800000,97.800000,98.783333,99.200000,1.215883,7.423861,69.250000,87.383333,93.316667,96.350000,69.266667,79.766667,85.583333,89.100000,87.383333,92.133333,94.900000,96.250000,93.316667,96.433333,97.883333,98.450000,96.350000,98.183333,98.883333,99.283333,1.256994,7.785628
10,0.717611,0.717611,0.000000,96.400000,96.500000,0.613189,69.933333,87.233333,93.383333,96.166667,69.933333,79.850000,85.916667,89.466667,87.233333,92.300000,94.883333,96.366667,93.383333,96.400000,97.583333,98.400000,96.166667,97.966667,98.866667,99.300000,1.178382,7.126889,69.266667,87.283333,93.383333,96.116667,69.283333,79.416667,85.383333,88.733333,87.283333,92.166667,94.966667,96.366667,93.383333,96.500000,97.866667,98.550000,96.116667,98.200000,99.016667,99.400000,1.280835,7.730742
11,0.697607,0.697607,0.000000,96.216667,96.650000,0.598147,69.883333,87.700000,93.550000,96.300000,69.883333,79.333333,85.333333,88.916667,87.700000,92.366667,94.600000,96.000000,93.550000,96.216667,97.533333,98.283333,96.300000,97.900000,98.700000,99.150000,1.213749,7.537094,69.800000,87.666667,93.883333,96.316667,69.816667,79.783333,85.400000,88.900000,87.666667,92.133333,94.850000,96.150000,93.883333,96.650000,97.966667,98.533333,96.316667,98.166667,98.900000,99.283333,1.240948,7.676686
12,0.679390,0.679390,0.000000,96.350000,96.466667,0.605407,70.400000,88.066667,93.583333,96.366667,70.400000,79.750000,85.266667,88.700000,88.066667,92.750000,95.050000,96.466667,93.583333,96.350000,97.533333,98.383333,96.366667,98.033333,98.733333,99.200000,1.244518,7.917596,70.550000,88.083333,93.250000,96.400000,70.566667,80.150000,85.433333,88.650000,88.083333,92.683333,95.183333,96.616667,93.250000,96.466667,97.816667,98.500000,96.400000,98.116667,98.900000,99.283333,1.281690,7.887645
