epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,5.736443,5.736443,0.000000,90.700000,90.100000,0.846621,54.450000,73.983333,85.150000,90.500000,54.450000,63.516667,70.316667,75.566667,73.983333,81.583333,86.516667,89.866667,85.150000,90.700000,93.900000,95.616667,90.500000,94.600000,96.533333,97.500000,2.872986,17.297139,53.516667,73.983333,84.633333,90.150000,53.516667,62.733333,69.350000,74.366667,73.983333,80.800000,85.566667,88.850000,84.633333,90.100000,93.033333,95.016667,90.150000,94.366667,96.066667,97.050000,3.032696,17.795696
2,1.234713,1.234713,0.000000,94.833333,95.100000,0.877169,64.266667,83.750000,91.300000,94.583333,64.266667,75.400000,81.666667,85.550000,83.750000,90.016667,93.250000,95.233333,91.300000,94.833333,96.883333,97.750000,94.583333,97.333333,98.400000,98.883333,1.595468,9.986308,65.000000,84.216667,91.083333,94.533333,65.000000,75.616667,82.133333,86.216667,84.216667,90.000000,93.450000,95.316667,91.083333,95.100000,96.816667,97.683333,94.533333,97.266667,98.216667,98.816667,1.531060,10.164585
3,0.887511,0.887511,0.000000,96.933333,96.383333,0.797764,69.866667,87.650000,93.850000,96.150000,69.866667,80.116667,85.966667,89.566667,87.650000,92.566667,95.383333,96.983333,93.850000,96.933333,98.183333,98.666667,96.150000,98.216667,99.133333,99.316667,1.172278,6.825937,70.550000,88.000000,93.233333,96.066667,70.550000,80.866667,86.550000,89.716667,88.000000,92.700000,95.133333,96.783333,93.233333,96.383333,97.666667,98.516667,96.066667,97.833333,98.583333,99.133333,1.121506,6.869455
4,0.725698,0.725698,0.000000,97.200000,96.816667,0.842137,72.100000,88.783333,94.633333,96.833333,72.100000,82.250000,87.366667,90.566667,88.783333,93.450000,95.816667,97.116667,94.633333,97.200000,98.283333,98.766667,96.833333,98.583333,99.150000,99.350000,1.038880,6.035725,72.666667,89.250000,94.133333,96.566667,72.666667,82.400000,87.566667,90.700000,89.250000,93.683333,95.900000,97.166667,94.133333,96.816667,98.000000,98.616667,96.566667,98.133333,98.850000,99.250000,1.042923,6.109015
5,0.645057,0.645057,0.000000,97.433333,96.883333,0.766058,73.016667,88.950000,94.800000,96.816667,73.016667,82.933333,87.850000,90.933333,88.950000,93.533333,95.933333,97.266667,94.800000,97.433333,98.466667,98.916667,96.816667,98.533333,99.083333,99.333333,0.992837,5.881798,74.250000,89.483333,94.266667,96.750000,74.250000,83.750000,88.433333,91.116667,89.483333,93.800000,96.000000,97.183333,94.266667,96.883333,98.016667,98.666667,96.750000,98.233333,98.900000,99.200000,1.002285,6.078350
6,0.595081,0.595081,0.000000,97.616667,96.983333,0.799515,74.250000,89.750000,94.966667,97.133333,74.250000,83.650000,88.516667,91.350000,89.750000,94.200000,96.316667,97.583333,94.966667,97.616667,98.533333,98.983333,97.133333,98.783333,99.200000,99.383333,0.923802,5.500970,74.700000,89.916667,94.616667,96.750000,74.700000,84.133333,88.933333,91.733333,89.916667,94.016667,96.133333,97.233333,94.616667,96.983333,98.133333,98.666667,96.750000,98.266667,98.916667,99.233333,0.940530,5.368366
7,0.553043,0.553043,0.000000,97.566667,97.166667,0.861381,74.033333,89.866667,95.116667,97.066667,74.033333,83.616667,88.433333,91.383333,89.866667,94.183333,96.316667,97.550000,95.116667,97.566667,98.500000,98.933333,97.066667,98.666667,99.116667,99.333333,0.927039,5.553419,74.550000,90.016667,94.883333,96.850000,74.550000,84.000000,88.766667,91.550000,90.016667,94.116667,96.283333,97.366667,94.883333,97.166667,98.316667,98.783333,96.850000,98.266667,98.916667,99.216667,0.956339,5.646732
8,0.527348,0.527348,0.000000,97.566667,96.950000,0.814505,74.216667,89.383333,95.116667,97.283333,74.216667,83.616667,88.383333,91.350000,89.383333,93.866667,96.066667,97.433333,95.116667,97.566667,98.566667,99.000000,97.283333,98.816667,99.183333,99.350000,0.914481,5.500970,74.816667,90.016667,94.533333,96.783333,74.816667,84.200000,88.750000,91.416667,90.016667,94.183333,96.150000,97.266667,94.533333,96.950000,98.116667,98.633333,96.783333,98.200000,98.850000,99.200000,0.956663,5.710825
9,0.498734,0.498734,0.000000,97.533333,96.933333,0.843329,74.133333,89.850000,95.150000,97.033333,74.133333,83.933333,88.750000,91.683333,89.850000,94.166667,96.300000,97.550000,95.150000,97.533333,98.516667,98.933333,97.033333,98.650000,99.116667,99.366667,0.904318,5.531409,75.166667,90.000000,94.666667,96.650000,75.166667,84.400000,89.116667,91.733333,90.000000,93.983333,96.300000,97.233333,94.666667,96.933333,98.100000,98.616667,96.650000,98.116667,98.816667,99.166667,0.906079,5.296279
10,0.478368,0.478368,0.000000,97.750000,96.983333,0.751280,74.516667,89.933333,95.283333,97.300000,74.516667,83.783333,88.516667,91.300000,89.933333,94.183333,96.366667,97.616667,95.283333,97.750000,98.766667,99.050000,97.300000,98.833333,99.333333,99.500000,0.895052,5.575265,75.200000,90.083333,94.600000,96.850000,75.200000,84.466667,88.983333,91.616667,90.083333,94.150000,96.233333,97.300000,94.600000,96.983333,98.100000,98.600000,96.850000,98.333333,98.983333,99.316667,0.927662,5.457351
