seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
123,FT,freeze_head,20,0.020000,2160,1,1,82096,4784,8.884929,0.000000,79.766667,79.216667,43.850000,62.283333,72.866667,78.283333,43.850000,52.050000,59.166667,63.916667,62.283333,70.083333,75.550000,79.533333,72.866667,79.766667,83.950000,86.800000,78.283333,83.966667,87.216667,89.366667,4.400524,19.284238,43.750000,61.933333,72.700000,78.033333,43.766667,51.800000,59.083333,64.383333,61.950000,69.766667,75.883333,79.950000,72.700000,79.216667,83.966667,86.583333,78.033333,83.250000,87.316667,89.333333,4.505501,19.842154
123,FT,freeze_head,20,0.020000,2160,2,2,82096,4784,8.884929,0.000000,82.433333,81.316667,48.933333,68.083333,76.216667,81.433333,48.933333,58.500000,65.416667,70.616667,68.083333,75.533333,80.516667,84.383333,76.216667,82.433333,86.250000,88.750000,81.433333,86.133333,89.100000,90.933333,3.389158,17.455753,48.350000,67.433333,75.350000,80.616667,48.366667,57.216667,64.966667,70.600000,67.433333,74.400000,79.983333,83.766667,75.350000,81.316667,85.450000,88.183333,80.616667,85.500000,88.650000,90.783333,3.555311,18.013734
123,FT,freeze_head,20,0.020000,2160,3,3,82096,4784,8.884929,0.000000,84.666667,83.700000,52.866667,72.783333,79.483333,83.716667,52.866667,62.700000,70.116667,75.400000,72.783333,79.566667,83.883333,86.750000,79.483333,84.666667,87.750000,89.866667,83.716667,87.833333,90.100000,91.800000,2.817397,15.562690,53.183333,72.216667,78.566667,83.000000,53.200000,62.183333,70.016667,75.733333,72.216667,78.266667,83.133333,86.583333,78.566667,83.700000,87.383333,89.700000,83.000000,87.050000,89.916667,91.566667,2.911232,16.481940
123,FT,freeze_head,20,0.020000,2160,5,5,82096,4784,8.884929,0.000000,85.666667,85.183333,55.966667,74.416667,81.033333,85.533333,55.966667,65.250000,72.533333,77.416667,74.416667,80.516667,84.616667,87.350000,81.033333,85.666667,88.583333,90.516667,85.533333,89.133333,91.233333,92.783333,2.554753,14.277749,55.650000,73.883333,80.583333,85.266667,55.666667,64.683333,72.150000,77.466667,73.883333,79.683333,84.266667,87.466667,80.583333,85.183333,88.366667,90.366667,85.266667,88.866667,91.366667,92.833333,2.670387,15.358702
123,FT,freeze_head,20,0.020000,2160,8,8,82096,4784,8.884929,0.000000,86.716667,86.133333,56.650000,75.783333,82.383333,87.116667,56.650000,66.183333,73.816667,78.433333,75.783333,81.600000,85.566667,88.000000,82.383333,86.716667,89.450000,91.266667,87.116667,90.550000,92.333333,93.483333,2.385030,13.808710,56.750000,75.083333,81.766667,86.416667,56.766667,65.700000,73.000000,78.366667,75.083333,80.516667,84.783333,87.616667,81.766667,86.133333,89.350000,91.183333,86.416667,89.950000,92.150000,93.283333,2.530026,14.737749
123,FT,freeze_head,20,0.020000,2160,10,10,82096,4784,8.884929,0.000000,87.900000,87.133333,57.766667,76.733333,83.450000,87.833333,57.766667,66.883333,74.183333,78.633333,76.733333,82.300000,85.983333,88.550000,83.450000,87.900000,90.466667,92.150000,87.833333,91.116667,92.833333,93.933333,2.357003,13.507874,58.150000,76.200000,82.816667,87.733333,58.166667,66.833333,73.933333,78.766667,76.200000,81.666667,85.800000,88.383333,82.816667,87.133333,90.116667,91.633333,87.733333,91.150000,93.016667,93.883333,2.409738,14.201989
123,FT,freeze_head,20,0.020000,2160,12,12,82096,4784,8.884929,0.000000,88.416667,87.716667,58.366667,76.750000,84.116667,88.583333,58.366667,67.366667,74.483333,78.883333,76.750000,82.616667,86.283333,88.983333,84.116667,88.416667,90.900000,92.566667,88.583333,91.650000,93.450000,94.533333,2.320884,13.509000,57.700000,76.683333,83.316667,88.983333,57.716667,66.633333,73.800000,78.750000,76.683333,82.233333,86.333333,88.683333,83.316667,87.716667,90.566667,92.033333,88.983333,92.083333,93.733333,94.633333,2.431253,14.341713
