seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db,results_schema_version,job_path
123,BL-AG,none,0,1.000000,108000,0,0,82096,82096,319.546530,0.352053,98.383333,98.650000,79.766667,92.800000,96.800000,98.283333,79.766667,87.700000,91.933333,94.266667,92.800000,95.916667,97.583333,98.400000,96.800000,98.383333,99.316667,99.633333,98.283333,99.183333,99.716667,99.833333,0.602164,3.562094,80.566667,93.350000,97.033333,98.200000,80.566667,88.466667,92.216667,94.333333,93.350000,96.533333,97.966667,98.650000,97.033333,98.650000,99.300000,99.566667,98.200000,99.216667,99.583333,99.750000,0.603292,3.441525,v4.1,jobs/baseline/bl_ag_eval
123,BL-AG,none,20,1.000000,108000,0,0,82096,82096,319.546530,0.333410,83.683333,83.650000,54.566667,72.050000,78.683333,82.483333,54.566667,63.833333,71.216667,76.816667,72.050000,77.800000,82.783333,86.400000,78.683333,83.683333,87.766667,90.516667,82.483333,86.666667,90.083333,92.366667,2.751657,15.978868,55.383333,71.666667,78.733333,82.183333,55.383333,64.816667,72.100000,77.116667,71.666667,77.983333,82.816667,86.200000,78.733333,83.650000,87.400000,90.066667,82.183333,86.416667,89.733333,92.200000,2.761302,16.409725,v4.1,jobs/baseline/bl_ag_eval
123,BL-AG,none,40,1.000000,108000,0,0,82096,82096,319.546530,0.330377,78.000000,77.716667,47.150000,65.066667,72.083333,76.466667,47.150000,55.466667,62.500000,67.933333,65.066667,71.650000,77.666667,82.066667,72.083333,78.000000,82.833333,86.216667,76.466667,81.966667,86.233333,89.233333,3.936274,18.473655,48.166667,64.750000,71.583333,76.033333,48.166667,56.616667,63.750000,68.916667,64.750000,72.150000,78.250000,82.200000,71.583333,77.716667,82.900000,86.233333,76.033333,81.533333,86.066667,89.116667,3.814266,17.874926,v4.1,jobs/baseline/bl_ag_eval
123,BL-AG,none,60,1.000000,108000,0,0,82096,82096,319.546530,0.362887,74.566667,74.450000,41.883333,60.600000,67.816667,73.166667,41.883333,49.616667,55.950000,61.516667,60.600000,67.700000,73.950000,78.316667,67.816667,74.566667,79.900000,83.683333,73.166667,79.016667,83.533333,86.983333,5.044686,19.591304,40.983333,59.133333,67.350000,72.516667,40.983333,48.383333,54.850000,59.850000,59.133333,66.866667,73.350000,78.000000,67.350000,74.450000,80.183333,84.233333,72.516667,78.433333,83.366667,86.983333,5.252577,20.065343,v4.1,jobs/baseline/bl_ag_eval
123,BL-AG,none,80,1.000000,108000,0,0,82096,82096,319.546530,0.380768,70.450000,69.066667,35.633333,54.316667,62.650000,69.483333,35.633333,42.666667,48.716667,54.133333,54.316667,62.150000,68.616667,73.916667,62.650000,70.450000,76.066667,80.466667,69.483333,76.183333,81.050000,84.950000,6.345487,20.535922,36.000000,53.666667,61.550000,68.350000,36.000000,42.783333,48.900000,53.400000,53.666667,61.600000,68.250000,73.466667,61.550000,69.066667,75.633333,80.433333,68.350000,75.083333,80.483333,84.616667,6.372762,20.895886,v4.1,jobs/baseline/bl_ag_eval
123,BL-AG,none,100,1.000000,108000,0,0,82096,82096,319.546530,0.326103,66.333333,65.233333,30.533333,49.733333,58.216667,65.400000,30.533333,36.416667,41.466667,46.116667,49.733333,57.383333,64.083333,69.966667,58.216667,66.333333,72.266667,77.533333,65.400000,72.566667,77.916667,82.400000,7.817012,21.809432,30.483333,49.666667,57.700000,64.683333,30.483333,36.450000,41.816667,45.750000,49.666667,57.433333,64.166667,69.800000,57.700000,65.233333,72.083333,77.466667,64.683333,71.500000,77.316667,82.016667,7.816821,22.138565,v4.1,jobs/baseline/bl_ag_eval
123,BL-AW,none,0,1.000000,108000,0,18,82096,82096,324.430641,0.000000,98.383333,98.650000,79.766667,92.800000,96.800000,98.283333,79.766667,87.700000,91.933333,94.266667,92.800000,95.916667,97.583333,98.400000,96.800000,98.383333,99.316667,99.633333,98.283333,99.183333,99.716667,99.833333,0.602164,3.562094,80.566667,93.350000,97.033333,98.200000,80.566667,88.466667,92.216667,94.333333,93.350000,96.533333,97.966667,98.650000,97.033333,98.650000,99.300000,99.566667,98.200000,99.216667,99.583333,99.750000,0.603292,3.441525,v4.1,jobs/baseline/bl_aw_blockage_000
123,BL-AW,none,20,1.000000,108000,0,18,82096,82096,332.693075,0.000000,98.133333,98.433333,79.016667,92.483333,96.450000,98.050000,79.016667,86.433333,90.616667,93.183333,92.483333,95.633333,97.466667,98.416667,96.450000,98.133333,99.033333,99.350000,98.050000,99.033333,99.533333,99.700000,0.704439,4.288862,79.766667,92.900000,96.650000,98.083333,79.766667,87.433333,91.250000,93.566667,92.916667,96.366667,97.633333,98.333333,96.650000,98.433333,99.066667,99.533333,98.083333,99.133333,99.483333,99.733333,0.678062,4.115203,v4.1,jobs/baseline/bl_aw_blockage_020
123,BL-AW,none,40,1.000000,108000,0,19,82096,82096,338.661992,0.000000,97.700000,98.100000,77.300000,90.916667,95.766667,97.783333,77.300000,85.000000,89.666667,92.433333,90.916667,94.633333,96.650000,97.866667,95.766667,97.700000,98.766667,99.216667,97.783333,98.900000,99.433333,99.583333,0.821478,4.923881,78.550000,92.216667,96.033333,97.816667,78.550000,86.783333,90.616667,93.066667,92.216667,95.566667,97.150000,98.050000,96.033333,98.100000,98.950000,99.483333,97.816667,99.050000,99.466667,99.733333,0.814912,4.671521,v4.1,jobs/baseline/bl_aw_blockage_040
123,BL-AW,none,60,1.000000,108000,0,16,82096,82096,333.520605,0.000000,96.900000,97.150000,75.116667,89.733333,94.583333,97.033333,75.116667,83.516667,88.333333,91.200000,89.733333,93.583333,95.900000,97.166667,94.583333,96.900000,98.116667,98.633333,97.033333,98.300000,99.033333,99.366667,0.992415,6.738955,75.616667,89.916667,94.683333,96.883333,75.616667,83.616667,88.133333,90.966667,89.916667,93.650000,95.666667,96.900000,94.683333,97.150000,98.150000,98.783333,96.883333,98.450000,99.000000,99.416667,0.999894,6.328834,v4.1,jobs/baseline/bl_aw_blockage_060
