epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,2.837893,2.837893,0.000000,92.133333,92.616667,0.661565,60.433333,79.383333,87.483333,91.450000,60.433333,70.800000,77.966667,82.383333,79.383333,86.383333,90.416667,93.183333,87.483333,92.133333,94.933333,96.533333,91.450000,94.700000,96.550000,97.850000,2.031487,13.612906,61.216667,79.616667,87.833333,91.583333,61.233333,72.066667,79.533333,83.733333,79.616667,86.816667,91.333333,93.950000,87.833333,92.616667,95.316667,96.916667,91.583333,95.066667,97.016667,98.250000,1.830498,12.404676
2,1.483796,1.483796,0.000000,92.166667,91.933333,0.656792,57.150000,79.566667,87.550000,91.666667,57.150000,66.700000,73.933333,79.016667,79.583333,85.566667,89.550000,92.300000,87.566667,92.166667,94.600000,96.166667,91.666667,95.050000,96.716667,97.800000,2.365360,14.401364,56.866667,78.416667,86.666667,92.033333,56.883333,66.883333,73.916667,78.683333,78.416667,85.250000,89.283333,92.450000,86.666667,91.933333,94.616667,96.433333,92.033333,95.483333,97.100000,97.966667,2.310073,13.872442
3,1.238675,1.238675,0.000000,93.950000,93.783333,0.674496,60.250000,80.833333,89.750000,93.666667,60.250000,70.250000,77.883333,82.683333,80.850000,87.483333,91.400000,93.983333,89.766667,93.950000,96.283333,97.483333,93.683333,96.700000,97.983333,98.550000,1.815092,10.974858,60.416667,80.550000,89.000000,93.233333,60.416667,71.083333,78.266667,83.216667,80.550000,87.400000,91.300000,93.766667,89.000000,93.783333,95.966667,97.400000,93.233333,96.750000,97.916667,98.700000,1.726877,10.247268
4,1.080805,1.080805,0.000000,95.983333,96.233333,0.784032,67.683333,86.166667,92.583333,95.300000,67.700000,77.750000,83.850000,87.850000,86.183333,91.366667,94.050000,95.933333,92.600000,95.983333,97.500000,98.250000,95.300000,97.533333,98.433333,98.933333,1.263615,7.616465,68.133333,85.183333,92.133333,95.100000,68.133333,78.733333,85.133333,88.533333,85.183333,91.266667,94.066667,95.916667,92.133333,96.233333,97.666667,98.566667,95.100000,97.783333,98.683333,99.216667,1.224479,7.595420
5,0.965105,0.965105,0.000000,96.333333,96.766667,0.698867,70.733333,87.850000,93.516667,96.466667,70.750000,80.333333,85.833333,89.350000,87.866667,92.383333,94.883333,96.350000,93.533333,96.333333,97.566667,98.216667,96.466667,98.133333,98.883333,99.266667,1.176235,7.257622,69.466667,87.233333,93.416667,95.816667,69.483333,80.183333,85.616667,88.766667,87.233333,92.566667,95.133333,96.566667,93.416667,96.766667,98.066667,98.716667,95.816667,98.166667,98.983333,99.383333,1.166403,6.965400
6,0.889778,0.889778,0.000000,96.633333,96.766667,0.708128,71.516667,88.650000,94.000000,96.266667,71.533333,80.950000,86.200000,89.483333,88.650000,93.100000,95.450000,96.933333,94.000000,96.633333,97.900000,98.600000,96.266667,98.016667,98.883333,99.283333,1.156421,7.025293,70.850000,88.316667,93.550000,96.083333,70.866667,81.150000,86.150000,89.016667,88.316667,93.233333,95.500000,96.816667,93.550000,96.766667,98.016667,98.766667,96.083333,98.300000,99.000000,99.433333,1.148032,7.311872
7,0.841422,0.841422,0.000000,96.766667,97.033333,0.669396,72.483333,89.116667,94.200000,96.533333,72.500000,81.716667,86.816667,90.183333,89.133333,93.466667,95.700000,96.916667,94.200000,96.766667,98.116667,98.816667,96.533333,98.283333,98.983333,99.383333,1.060065,6.613809,71.716667,88.700000,93.883333,95.900000,71.733333,81.783333,86.966667,89.733333,88.700000,93.783333,95.916667,97.100000,93.883333,97.033333,98.300000,98.883333,95.900000,98.083333,98.950000,99.416667,1.079049,6.903056
8,0.814974,0.814974,0.000000,96.833333,97.033333,0.663771,73.200000,89.233333,94.283333,96.516667,73.216667,82.516667,87.500000,90.733333,89.233333,93.550000,95.883333,97.083333,94.283333,96.833333,98.083333,98.766667,96.516667,98.133333,98.900000,99.366667,0.998485,6.016618,72.600000,88.650000,93.900000,95.983333,72.616667,82.683333,88.250000,91.033333,88.650000,93.750000,96.050000,97.233333,93.900000,97.033333,98.216667,98.866667,95.983333,98.066667,98.900000,99.333333,0.974055,5.897517
9,0.799698,0.799698,0.000000,97.083333,97.400000,0.672662,73.683333,89.283333,94.933333,97.000000,73.700000,82.833333,87.533333,90.716667,89.283333,93.750000,96.016667,97.266667,94.933333,97.083333,98.266667,98.933333,97.000000,98.333333,99.083333,99.433333,1.006064,6.245458,73.333333,89.633333,94.500000,96.450000,73.350000,83.100000,88.000000,90.566667,89.633333,94.450000,96.466667,97.566667,94.500000,97.400000,98.516667,99.033333,96.450000,98.383333,99.150000,99.583333,0.997375,6.127562
10,0.776613,0.776613,0.000000,96.750000,97.266667,0.668292,73.766667,89.250000,94.500000,96.800000,73.783333,82.983333,87.650000,90.733333,89.250000,93.366667,95.733333,97.116667,94.500000,96.750000,98.033333,98.766667,96.800000,98.200000,98.950000,99.350000,1.003149,6.307184,73.266667,89.416667,94.350000,96.533333,73.283333,83.216667,88.083333,90.833333,89.416667,94.250000,96.350000,97.433333,94.350000,97.266667,98.366667,98.900000,96.533333,98.350000,99.083333,99.450000,0.969436,5.952634
