seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db,results_schema_version,job_path
789,BL-AW,none,80,1.000000,108000,0,19,82096,82096,295.211222,0.000000,98.000000,98.000000,78.033333,91.966667,96.116667,97.700000,78.050000,86.433333,90.666667,93.483333,91.966667,95.366667,97.150000,98.183333,96.116667,98.000000,98.733333,99.233333,97.700000,98.900000,99.333333,99.583333,0.727206,4.065296,78.216667,92.333333,96.050000,98.000000,78.233333,87.016667,91.066667,93.266667,92.333333,95.800000,97.316667,98.183333,96.050000,98.000000,98.900000,99.366667,98.000000,98.916667,99.366667,99.600000,0.736703,4.175899,v4.1,jobs/baseline/bl_aw_blockage_080
789,BL-AW,none,100,1.000000,108000,0,13,82096,82096,294.432539,0.000000,98.066667,98.033333,76.266667,91.533333,96.033333,97.883333,76.283333,85.133333,89.466667,92.283333,91.550000,95.333333,97.083333,98.216667,96.050000,98.066667,98.850000,99.333333,97.883333,99.066667,99.483333,99.666667,0.890922,5.092888,76.866667,91.500000,95.833333,97.800000,76.866667,85.800000,89.900000,92.283333,91.500000,95.516667,97.350000,98.200000,95.833333,98.033333,98.916667,99.366667,97.800000,99.000000,99.466667,99.666667,0.860903,5.084751,v4.1,jobs/baseline/bl_aw_blockage_100
789,FT,freeze_all,0,0.000000,0,1,0,82096,0,0.000000,,98.450000,98.533333,78.483333,92.250000,96.750000,98.416667,78.500000,87.033333,90.816667,93.500000,92.250000,95.850000,97.266667,98.233333,96.750000,98.450000,99.100000,99.516667,98.416667,99.300000,99.600000,99.800000,0.655570,3.975434,78.616667,92.466667,96.600000,98.216667,78.616667,87.300000,91.566667,93.850000,92.466667,96.033333,97.500000,98.433333,96.600000,98.533333,99.250000,99.583333,98.216667,99.333333,99.600000,99.783333,0.671480,3.797315,v4.1,jobs/finetune/trainfrac_0.000000/blockage_000/freeze_freeze_all
789,FT,freeze_all,0,0.000000,0,2,0,82096,0,0.000000,,98.450000,98.533333,78.483333,92.250000,96.750000,98.416667,78.500000,87.033333,90.816667,93.500000,92.250000,95.850000,97.266667,98.233333,96.750000,98.450000,99.100000,99.516667,98.416667,99.300000,99.600000,99.800000,0.655570,3.975434,78.616667,92.466667,96.600000,98.216667,78.616667,87.300000,91.566667,93.850000,92.466667,96.033333,97.500000,98.433333,96.600000,98.533333,99.250000,99.583333,98.216667,99.333333,99.600000,99.783333,0.671480,3.797315,v4.1,jobs/finetune/trainfrac_0.000000/blockage_000/freeze_freeze_all
789,FT,freeze_all,0,0.000000,0,3,0,82096,0,0.000000,,98.450000,98.533333,78.483333,92.250000,96.750000,98.416667,78.500000,87.033333,90.816667,93.500000,92.250000,95.850000,97.266667,98.233333,96.750000,98.450000,99.100000,99.516667,98.416667,99.300000,99.600000,99.800000,0.655570,3.975434,78.616667,92.466667,96.600000,98.216667,78.616667,87.300000,91.566667,93.850000,92.466667,96.033333,97.500000,98.433333,96.600000,98.533333,99.250000,99.583333,98.216667,99.333333,99.600000,99.783333,0.671480,3.797315,v4.1,jobs/finetune/trainfrac_0.000000/blockage_000/freeze_freeze_all
789,FT,freeze_all,0,0.000000,0,5,0,82096,0,0.000000,,98.450000,98.533333,78.483333,92.250000,96.750000,98.416667,78.500000,87.033333,90.816667,93.500000,92.250000,95.850000,97.266667,98.233333,96.750000,98.450000,99.100000,99.516667,98.416667,99.300000,99.600000,99.800000,0.655570,3.975434,78.616667,92.466667,96.600000,98.216667,78.616667,87.300000,91.566667,93.850000,92.466667,96.033333,97.500000,98.433333,96.600000,98.533333,99.250000,99.583333,98.216667,99.333333,99.600000,99.783333,0.671480,3.797315,v4.1,jobs/finetune/trainfrac_0.000000/blockage_000/freeze_freeze_all
789,FT,freeze_all,0,0.000000,0,8,0,82096,0,0.000000,,98.450000,98.533333,78.483333,92.250000,96.750000,98.416667,78.500000,87.033333,90.816667,93.500000,92.250000,95.850000,97.266667,98.233333,96.750000,98.450000,99.100000,99.516667,98.416667,99.300000,99.600000,99.800000,0.655570,3.975434,78.616667,92.466667,96.600000,98.216667,78.616667,87.300000,91.566667,93.850000,92.466667,96.033333,97.500000,98.433333,96.600000,98.533333,99.250000,99.583333,98.216667,99.333333,99.600000,99.783333,0.671480,3.797315,v4.1,jobs/finetune/trainfrac_0.000000/blockage_000/freeze_freeze_all
789,FT,freeze_all,0,0.000000,0,10,0,82096,0,0.000000,,98.450000,98.533333,78.483333,92.250000,96.750000,98.416667,78.500000,87.033333,90.816667,93.500000,92.250000,95.850000,97.266667,98.233333,96.750000,98.450000,99.100000,99.516667,98.416667,99.300000,99.600000,99.800000,0.655570,3.975434,78.616667,92.466667,96.600000,98.216667,78.616667,87.300000,91.566667,93.850000,92.466667,96.033333,97.500000,98.433333,96.600000,98.533333,99.250000,99.583333,98.216667,99.333333,99.600000,99.783333,0.671480,3.797315,v4.1,jobs/finetune/trainfrac_0.000000/blockage_000/freeze_freeze_all
789,FT,freeze_all,0,0.000000,0,12,0,82096,0,0.000000,,98.450000,98.533333,78.483333,92.250000,96.750000,98.416667,78.500000,87.033333,90.816667,93.500000,92.250000,95.850000,97.266667,98.233333,96.750000,98.450000,99.100000,99.516667,98.416667,99.300000,99.600000,99.800000,0.655570,3.975434,78.616667,92.466667,96.600000,98.216667,78.616667,87.300000,91.566667,93.850000,92.466667,96.033333,97.500000,98.433333,96.600000,98.533333,99.250000,99.583333,98.216667,99.333333,99.600000,99.783333,0.671480,3.797315,v4.1,jobs/finetune/trainfrac_0.000000/blockage_000/freeze_freeze_all
789,FT,freeze_all,20,0.000000,0,1,0,82096,0,0.000000,,91.300000,92.083333,61.216667,80.266667,87.066667,90.183333,61.216667,70.650000,77.750000,82.300000,80.266667,86.450000,90.716667,93.216667,87.066667,91.300000,94.250000,95.950000,90.183333,93.433333,95.716667,97.233333,1.876720,11.966313,61.400000,80.783333,88.050000,90.683333,61.416667,70.983333,77.950000,82.550000,80.783333,86.800000,91.150000,93.450000,88.050000,92.083333,94.883333,96.366667,90.683333,93.866667,96.250000,97.483333,1.916881,12.240081,v4.1,jobs/finetune/trainfrac_0.000000/blockage_020/freeze_freeze_all
