epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,4.095780,4.095780,0.000000,95.066667,95.266667,0.641492,64.816667,84.033333,91.216667,94.750000,64.816667,74.916667,81.633333,85.733333,84.033333,90.150000,93.400000,95.316667,91.216667,95.066667,96.933333,97.616667,94.750000,97.283333,98.350000,98.833333,1.597971,10.127745,66.600000,85.066667,91.383333,94.466667,66.600000,76.383333,82.300000,86.150000,85.066667,90.816667,93.733333,95.366667,91.383333,95.266667,96.950000,97.633333,94.466667,96.883333,98.083333,98.483333,1.618469,10.875127
2,1.144676,1.144676,0.000000,96.450000,96.350000,0.675579,69.383333,86.983333,93.333333,95.850000,69.383333,79.183333,85.000000,88.283333,86.983333,92.366667,94.783333,96.450000,93.333333,96.450000,97.783333,98.466667,95.850000,97.983333,98.933333,99.300000,1.224438,7.634109,69.833333,87.466667,93.133333,95.800000,69.833333,79.883333,85.500000,88.700000,87.466667,92.616667,94.950000,96.300000,93.133333,96.350000,97.816667,98.383333,95.800000,97.816667,98.683333,99.083333,1.272427,8.002959
3,0.869713,0.869713,0.000000,97.150000,96.316667,0.647681,71.150000,88.416667,94.366667,96.283333,71.150000,80.916667,86.383333,89.516667,88.416667,93.616667,95.833333,97.233333,94.366667,97.150000,98.383333,98.966667,96.283333,98.266667,99.166667,99.450000,1.122390,6.844043,72.200000,88.383333,93.683333,96.266667,72.200000,81.816667,86.766667,89.850000,88.383333,93.150000,95.566667,96.916667,93.683333,96.316667,97.650000,98.400000,96.266667,97.900000,98.750000,99.066667,1.148257,7.172054
4,0.770404,0.770404,0.000000,97.116667,97.016667,0.643375,71.816667,89.133333,94.433333,96.666667,71.816667,81.500000,86.783333,90.133333,89.133333,94.116667,96.050000,97.350000,94.433333,97.116667,98.300000,98.933333,96.666667,98.516667,99.216667,99.516667,1.093070,6.354493,73.150000,89.316667,94.250000,96.716667,73.150000,82.433333,87.266667,90.100000,89.316667,93.816667,96.033333,97.200000,94.250000,97.016667,98.283333,98.716667,96.716667,98.233333,99.033333,99.283333,1.109201,6.844156
5,0.717880,0.717880,0.000000,97.350000,96.800000,0.634733,73.566667,89.650000,94.800000,96.916667,73.566667,83.033333,87.833333,90.833333,89.650000,94.266667,96.200000,97.450000,94.800000,97.350000,98.483333,99.033333,96.916667,98.666667,99.266667,99.533333,0.983148,5.816287,73.683333,89.483333,94.300000,96.633333,73.683333,83.016667,87.933333,90.716667,89.483333,93.850000,96.083333,97.300000,94.300000,96.800000,98.033333,98.600000,96.633333,98.066667,98.866667,99.150000,1.022541,6.212146
6,0.681308,0.681308,0.000000,97.416667,97.066667,0.622043,73.716667,89.783333,94.900000,97.100000,73.716667,82.816667,87.483333,90.316667,89.783333,94.366667,96.216667,97.416667,94.900000,97.416667,98.550000,99.116667,97.100000,98.683333,99.333333,99.600000,1.074846,6.284635,74.433333,90.183333,94.833333,96.983333,74.433333,83.150000,87.616667,90.333333,90.183333,94.133333,96.366667,97.416667,94.833333,97.066667,98.200000,98.766667,96.983333,98.350000,99.016667,99.300000,1.091680,6.832823
7,0.649403,0.649403,0.000000,97.616667,97.216667,0.646916,74.050000,90.016667,95.033333,97.033333,74.050000,83.166667,88.116667,90.950000,90.016667,94.566667,96.433333,97.566667,95.033333,97.616667,98.566667,99.150000,97.033333,98.683333,99.333333,99.616667,1.027259,6.014241,75.233333,90.466667,94.916667,96.900000,75.233333,83.783333,88.300000,90.733333,90.466667,94.266667,96.450000,97.416667,94.916667,97.216667,98.300000,98.833333,96.900000,98.283333,98.983333,99.283333,1.051041,6.534590
8,0.624340,0.624340,0.000000,97.533333,97.050000,0.664158,73.966667,89.833333,95.016667,97.183333,73.966667,83.183333,87.850000,90.916667,89.833333,94.383333,96.283333,97.550000,95.016667,97.533333,98.466667,99.066667,97.183333,98.800000,99.350000,99.566667,0.952202,5.680244,74.583333,89.983333,94.666667,96.950000,74.583333,83.466667,88.066667,90.916667,89.983333,94.183333,96.233333,97.233333,94.666667,97.050000,98.083333,98.666667,96.950000,98.300000,98.966667,99.250000,0.985470,5.634570
9,0.615558,0.615558,0.000000,97.600000,97.183333,0.648901,74.816667,90.233333,95.166667,97.166667,74.816667,83.816667,88.716667,91.516667,90.233333,94.616667,96.433333,97.600000,95.166667,97.600000,98.550000,99.116667,97.166667,98.783333,99.300000,99.550000,0.994947,5.879098,74.733333,90.066667,94.683333,97.100000,74.733333,83.750000,88.316667,90.733333,90.066667,94.050000,96.216667,97.300000,94.683333,97.183333,98.283333,98.816667,97.100000,98.316667,98.983333,99.283333,1.041122,6.753746
10,0.599062,0.599062,0.000000,97.400000,96.950000,0.697653,74.316667,89.483333,95.116667,97.050000,74.316667,83.400000,87.950000,90.933333,89.483333,93.833333,95.783333,97.333333,95.116667,97.400000,98.500000,99.100000,97.050000,98.533333,99.250000,99.550000,0.938090,5.876338,75.100000,89.966667,94.516667,96.933333,75.100000,83.816667,88.466667,91.166667,89.966667,94.000000,95.916667,96.950000,94.516667,96.950000,97.983333,98.533333,96.933333,98.200000,98.866667,99.200000,0.936691,5.541025
11,0.587308,0.587308,0.000000,97.666667,97.366667,0.637054,75.200000,90.383333,95.216667,97.233333,75.200000,84.366667,89.066667,91.650000,90.383333,94.666667,96.566667,97.766667,95.216667,97.666667,98.616667,99.200000,97.233333,98.750000,99.383333,99.616667,0.877685,5.192734,76.533333,90.883333,95.016667,97.166667,76.533333,85.316667,89.633333,92.133333,90.883333,94.716667,96.816667,97.783333,95.016667,97.366667,98.383333,98.850000,97.166667,98.416667,99.033333,99.350000,0.868060,5.001165
12,0.571370,0.571370,0.000000,97.583333,97.350000,0.633880,75.266667,90.650000,95.166667,97.066667,75.266667,84.066667,88.650000,91.366667,90.650000,94.733333,96.633333,97.733333,95.166667,97.583333,98.566667,99.166667,97.066667,98.650000,99.283333,99.516667,0.940674,5.677881,75.183333,90.416667,94.983333,97.066667,75.183333,84.200000,88.800000,91.200000,90.416667,94.483333,96.600000,97.400000,94.983333,97.350000,98.466667,98.850000,97.066667,98.450000,99.100000,99.350000,0.960190,5.940097
