epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,1.867672,1.867672,0.000000,93.850000,93.666667,0.805128,60.350000,81.116667,90.250000,94.550000,60.350000,69.400000,75.116667,79.300000,81.116667,86.966667,90.083333,92.100000,90.250000,93.850000,95.700000,96.733333,94.550000,96.766667,97.916667,98.400000,2.362795,14.808592,58.116667,80.583333,90.033333,93.800000,58.116667,67.733333,74.333333,78.700000,80.583333,86.450000,89.933333,92.266667,90.033333,93.666667,95.566667,96.833333,93.800000,96.250000,97.400000,98.066667,2.386208,14.184400
2,0.951644,0.951644,0.000000,95.750000,96.283333,0.780743,65.333333,85.850000,92.966667,96.250000,65.333333,74.666667,79.950000,83.600000,85.850000,90.716667,93.333333,95.000000,92.966667,95.750000,97.200000,97.883333,96.250000,97.800000,98.616667,98.916667,1.641446,10.141229,64.033333,85.400000,93.400000,96.750000,64.033333,73.733333,79.966667,83.983333,85.400000,90.733333,93.250000,94.983333,93.400000,96.283333,97.500000,98.416667,96.750000,98.133333,98.733333,99.200000,1.642963,10.086732
3,0.784749,0.784749,0.000000,97.100000,97.083333,0.745293,69.883333,88.216667,94.683333,96.850000,69.883333,78.416667,83.083333,86.266667,88.216667,92.683333,95.016667,96.350000,94.683333,97.100000,98.266667,98.816667,96.850000,98.233333,98.933333,99.250000,1.472139,10.148219,68.500000,88.133333,94.483333,96.916667,68.500000,77.683333,82.983333,86.216667,88.133333,92.733333,94.900000,96.450000,94.483333,97.083333,97.950000,98.783333,96.916667,98.433333,98.983333,99.366667,1.477597,10.043524
4,0.693359,0.693359,0.000000,97.183333,97.250000,0.841271,70.783333,88.750000,94.916667,97.066667,70.783333,79.216667,83.766667,86.583333,88.750000,93.050000,95.233333,96.566667,94.916667,97.183333,98.166667,98.733333,97.066667,98.366667,99.033333,99.383333,1.416049,10.010290,69.750000,88.533333,94.750000,97.033333,69.750000,78.566667,83.633333,86.733333,88.533333,92.916667,94.983333,96.533333,94.750000,97.250000,98.200000,98.866667,97.033333,98.500000,99.083333,99.400000,1.406777,9.705680
5,0.650851,0.650851,0.000000,97.116667,97.100000,0.749820,71.383333,89.066667,94.883333,97.016667,71.383333,79.766667,84.083333,86.966667,89.066667,93.050000,95.250000,96.433333,94.883333,97.116667,98.116667,98.683333,97.016667,98.416667,99.016667,99.333333,1.401134,9.791236,70.266667,88.666667,94.583333,96.916667,70.266667,79.033333,83.933333,86.866667,88.666667,93.116667,95.100000,96.550000,94.583333,97.100000,98.066667,98.850000,96.916667,98.500000,99.033333,99.383333,1.404665,9.439023
6,0.630823,0.630823,0.000000,97.050000,97.233333,0.768239,71.150000,88.883333,94.833333,97.033333,71.150000,79.466667,84.016667,86.933333,88.883333,93.116667,95.366667,96.616667,94.833333,97.050000,98.283333,98.900000,97.033333,98.466667,99.066667,99.400000,1.410947,10.001460,70.633333,88.783333,94.816667,96.950000,70.633333,79.200000,84.083333,87.383333,88.783333,93.416667,95.266667,96.766667,94.816667,97.233333,98.133333,98.866667,96.950000,98.483333,99.066667,99.400000,1.326449,8.724821
7,0.602439,0.602439,0.000000,96.716667,96.916667,0.771612,71.000000,88.316667,94.383333,96.633333,71.000000,79.516667,84.100000,87.150000,88.316667,92.450000,94.750000,96.283333,94.383333,96.716667,97.866667,98.533333,96.633333,98.200000,98.933333,99.316667,1.336660,8.987130,69.883333,88.050000,94.333333,96.816667,69.883333,78.683333,83.700000,87.083333,88.050000,92.700000,94.950000,96.416667,94.333333,96.916667,97.966667,98.683333,96.816667,98.200000,98.850000,99.250000,1.346699,8.746090
8,0.578426,0.578426,0.000000,96.650000,96.950000,0.766376,71.300000,87.950000,94.083333,96.766667,71.300000,79.833333,84.400000,87.450000,87.950000,92.450000,95.050000,96.416667,94.083333,96.650000,97.833333,98.500000,96.766667,98.233333,98.950000,99.350000,1.294751,8.721001,69.533333,88.100000,94.416667,96.983333,69.533333,78.716667,83.816667,87.366667,88.100000,92.900000,95.183333,96.633333,94.416667,96.950000,97.983333,98.650000,96.983333,98.333333,98.966667,99.316667,1.334570,9.029384
9,0.560646,0.560646,0.000000,96.950000,97.050000,0.771680,71.383333,88.916667,94.716667,96.983333,71.383333,79.600000,84.116667,87.116667,88.916667,92.866667,95.133333,96.433333,94.716667,96.950000,98.166667,98.800000,96.983333,98.433333,99.100000,99.400000,1.400007,9.791236,70.783333,88.816667,94.616667,96.900000,70.783333,79.283333,84.000000,87.250000,88.816667,93.316667,94.983333,96.500000,94.616667,97.050000,97.983333,98.683333,96.900000,98.400000,99.050000,99.400000,1.358646,8.963165
10,0.543234,0.543234,0.000000,96.866667,97.183333,0.779876,70.616667,88.983333,94.400000,96.983333,70.616667,79.483333,83.916667,86.966667,88.983333,92.983333,95.316667,96.516667,94.400000,96.866667,98.150000,98.716667,96.983333,98.366667,98.950000,99.333333,1.404809,9.515994,70.316667,89.000000,94.683333,96.900000,70.316667,79.400000,84.266667,87.533333,89.000000,93.450000,95.283333,96.766667,94.683333,97.183333,98.066667,98.883333,96.900000,98.516667,99.083333,99.450000,1.319166,8.647792
11,0.521855,0.521855,0.000000,97.083333,96.800000,0.753080,70.700000,88.716667,94.766667,96.883333,70.700000,79.033333,83.533333,86.633333,88.716667,92.650000,94.933333,96.216667,94.766667,97.083333,98.083333,98.716667,96.883333,98.316667,98.983333,99.366667,1.438721,9.935719,69.633333,88.450000,94.533333,96.850000,69.633333,78.766667,83.950000,87.333333,88.450000,93.133333,94.966667,96.516667,94.533333,96.800000,97.866667,98.650000,96.850000,98.266667,98.950000,99.300000,1.340305,8.628676
12,0.512340,0.512340,0.000000,96.883333,96.933333,0.808644,71.433333,89.050000,94.616667,96.816667,71.433333,79.533333,83.916667,86.916667,89.050000,92.983333,95.166667,96.483333,94.616667,96.883333,98.033333,98.716667,96.816667,98.316667,98.983333,99.366667,1.408736,9.934877,70.566667,88.483333,94.550000,96.950000,70.566667,79.316667,83.900000,87.100000,88.483333,93.033333,94.983333,96.566667,94.550000,96.933333,98.000000,98.766667,96.950000,98.300000,98.966667,99.366667,1.349373,8.922604
