seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
456,FT,freeze_head,40,0.020000,2160,1,1,82096,4784,9.802454,0.000000,79.416667,79.600000,43.266667,64.150000,73.000000,76.966667,43.266667,51.433333,58.383333,63.683333,64.150000,71.900000,76.933333,80.800000,73.000000,79.416667,83.316667,86.366667,76.966667,82.583333,86.050000,88.500000,4.502417,19.964333,42.650000,63.666667,73.516667,76.816667,42.650000,50.500000,57.666667,63.383333,63.666667,71.333333,76.833333,80.916667,73.516667,79.600000,83.700000,86.550000,76.816667,82.316667,85.850000,88.500000,4.368199,19.505184
456,FT,freeze_head,40,0.020000,2160,2,2,82096,4784,9.802454,0.000000,84.150000,84.033333,55.216667,71.433333,79.016667,83.633333,55.216667,64.116667,70.300000,74.433333,71.433333,78.200000,82.483333,85.533333,79.016667,84.150000,87.166667,89.333333,83.633333,87.916667,90.466667,91.900000,3.715151,20.341291,54.633333,71.650000,78.833333,83.933333,54.633333,63.016667,69.433333,74.283333,71.650000,78.150000,82.116667,85.583333,78.833333,84.033333,87.116667,89.416667,83.933333,88.300000,90.700000,92.316667,3.581784,19.292889
456,FT,freeze_head,40,0.020000,2160,3,3,82096,4784,9.802454,0.000000,85.533333,86.066667,52.433333,72.150000,81.016667,86.266667,52.433333,61.766667,68.950000,73.983333,72.150000,78.583333,82.966667,86.133333,81.016667,85.533333,88.733333,90.850000,86.266667,89.483333,91.600000,93.166667,3.055677,17.230653,52.983333,71.500000,81.733333,86.933333,52.983333,61.666667,68.866667,74.250000,71.500000,77.700000,82.083333,85.650000,81.733333,86.066667,88.983333,91.266667,86.933333,90.250000,92.300000,93.716667,3.194233,17.995353
456,FT,freeze_head,40,0.020000,2160,5,5,82096,4784,9.802454,0.000000,88.916667,89.500000,59.283333,77.333333,84.850000,89.400000,59.283333,68.366667,74.833333,78.866667,77.333333,83.116667,86.783333,88.950000,84.850000,88.916667,91.333333,92.766667,89.400000,92.166667,93.716667,94.783333,2.544330,15.803514,58.283333,76.850000,85.400000,89.750000,58.283333,67.083333,73.616667,78.216667,76.850000,82.450000,85.900000,88.466667,85.400000,89.500000,91.566667,93.150000,89.750000,92.483333,93.866667,94.983333,2.586236,15.021825
456,FT,freeze_head,40,0.020000,2160,8,8,82096,4784,9.802454,0.000000,90.550000,90.333333,61.950000,79.683333,86.683333,90.900000,61.950000,71.100000,77.133333,80.833333,79.683333,85.300000,88.683333,90.683333,86.683333,90.550000,92.783333,94.100000,90.900000,93.450000,94.933333,95.883333,2.471030,15.925562,61.416667,79.233333,86.650000,91.333333,61.416667,70.200000,76.000000,80.266667,79.233333,84.366667,87.333333,89.866667,86.650000,90.333333,92.200000,93.716667,91.333333,93.733333,94.833333,95.733333,2.483527,15.159299
456,FT,freeze_head,40,0.020000,2160,10,10,82096,4784,9.802454,0.000000,91.116667,90.850000,63.166667,81.116667,87.300000,91.816667,63.166667,71.900000,77.716667,81.200000,81.116667,86.383333,89.533333,91.450000,87.300000,91.116667,93.316667,94.616667,91.816667,94.300000,95.700000,96.566667,2.464787,16.177145,62.600000,80.283333,87.316667,92.066667,62.600000,71.150000,76.583333,80.600000,80.283333,85.516667,88.316667,90.650000,87.316667,90.850000,92.633333,94.050000,92.066667,94.183333,95.333333,96.166667,2.526577,16.202722
456,FT,freeze_head,40,0.020000,2160,12,12,82096,4784,9.802454,0.000000,91.400000,91.650000,63.233333,81.333333,87.933333,92.166667,63.233333,71.883333,77.633333,81.066667,81.333333,86.550000,89.700000,91.533333,87.933333,91.400000,93.550000,94.750000,92.166667,94.500000,95.900000,96.766667,2.400486,15.405336,63.250000,81.050000,88.083333,92.533333,63.250000,71.800000,77.250000,81.316667,81.050000,86.200000,89.000000,91.283333,88.083333,91.650000,93.316667,94.600000,92.533333,94.800000,95.783333,96.633333,2.388716,15.107091
