epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,4.303482,4.303482,0.000000,83.316667,83.750000,0.459670,49.366667,68.250000,77.300000,82.600000,49.366667,58.850000,66.500000,72.466667,68.250000,75.650000,81.483333,85.750000,77.300000,83.316667,88.000000,91.200000,82.600000,87.833333,91.750000,94.766667,3.380599,18.662101,49.450000,69.016667,77.766667,82.783333,49.450000,58.950000,66.933333,72.966667,69.016667,76.683333,81.900000,86.033333,77.766667,83.750000,87.966667,91.200000,82.783333,87.750000,91.433333,94.066667,3.310445,18.865899
2,1.888566,1.888566,0.000000,90.183333,90.733333,0.455913,57.800000,77.533333,85.400000,90.183333,57.800000,68.066667,75.400000,80.633333,77.533333,83.833333,88.350000,91.600000,85.400000,90.183333,93.333333,95.600000,90.183333,94.033333,96.300000,97.700000,2.403963,14.838150,57.666667,77.716667,85.533333,90.116667,57.683333,68.233333,75.950000,80.966667,77.733333,84.350000,88.750000,91.866667,85.533333,90.733333,93.916667,95.933333,90.116667,93.966667,96.216667,97.666667,2.379653,14.790196
3,1.274300,1.274300,0.000000,92.600000,92.883333,0.460875,59.766667,79.533333,88.450000,92.750000,59.766667,69.916667,77.100000,82.050000,79.533333,86.250000,90.400000,93.083333,88.450000,92.600000,95.066667,96.550000,92.750000,95.650000,97.216667,98.066667,2.180748,13.726288,59.166667,79.700000,88.183333,92.466667,59.166667,69.800000,77.350000,82.166667,79.700000,86.500000,90.666667,93.233333,88.183333,92.883333,95.366667,96.583333,92.466667,95.683333,97.283333,97.966667,2.161557,13.102520
4,1.152149,1.152149,0.000000,92.833333,93.133333,0.463423,60.933333,80.283333,88.950000,93.300000,60.933333,71.550000,78.916667,83.983333,80.283333,86.650000,90.916667,93.566667,88.950000,92.833333,95.466667,96.900000,93.300000,96.050000,97.550000,98.266667,1.664824,9.747029,59.683333,80.616667,88.466667,93.100000,59.683333,70.716667,78.566667,83.933333,80.616667,87.583333,91.550000,93.966667,88.466667,93.133333,95.583333,96.916667,93.100000,96.166667,97.466667,98.233333,1.702755,9.994868
5,0.998111,0.998111,0.000000,93.316667,93.666667,0.461451,61.350000,81.916667,89.083333,93.500000,61.350000,71.450000,78.583333,83.383333,81.916667,88.183333,91.983333,94.333333,89.083333,93.316667,95.616667,97.083333,93.500000,96.333333,97.800000,98.433333,1.840310,11.162545,61.333333,81.933333,89.383333,93.633333,61.333333,71.950000,79.366667,84.183333,81.933333,88.233333,92.000000,94.266667,89.383333,93.666667,95.966667,97.316667,93.633333,96.483333,97.783333,98.583333,1.804457,10.932865
6,0.928704,0.928704,0.000000,93.950000,94.416667,0.456204,63.483333,83.633333,90.300000,94.083333,63.483333,73.966667,80.733333,85.100000,83.633333,89.100000,92.383333,94.416667,90.300000,93.950000,95.933333,97.233333,94.083333,96.616667,97.866667,98.566667,1.681967,10.419991,63.016667,83.633333,90.716667,94.733333,63.033333,73.433333,81.050000,85.850000,83.633333,89.183333,92.816667,94.850000,90.716667,94.416667,96.583333,97.816667,94.733333,97.150000,98.333333,99.033333,1.638203,9.775678
7,0.866248,0.866248,0.000000,95.300000,95.266667,0.448196,65.400000,84.516667,91.750000,95.050000,65.400000,75.883333,82.483333,86.733333,84.516667,90.016667,93.150000,94.983333,91.750000,95.300000,96.766667,97.800000,95.050000,97.133333,98.200000,98.783333,1.480408,9.047672,65.216667,85.000000,91.816667,95.233333,65.233333,75.683333,82.516667,86.816667,85.000000,90.450000,93.650000,95.450000,91.816667,95.266667,96.850000,97.816667,95.233333,97.500000,98.416667,98.883333,1.506933,8.996807
8,0.803618,0.803618,0.000000,95.583333,95.633333,0.454488,66.400000,85.150000,92.200000,95.016667,66.400000,76.316667,82.483333,86.666667,85.150000,90.550000,93.200000,95.050000,92.200000,95.583333,97.000000,97.933333,95.016667,97.233333,98.166667,98.850000,1.436694,8.988161,65.916667,84.716667,92.333333,95.333333,65.933333,76.050000,82.366667,86.416667,84.716667,90.700000,93.733333,95.250000,92.333333,95.633333,97.200000,98.000000,95.333333,97.550000,98.450000,98.900000,1.480073,8.948839
9,0.776475,0.776475,0.000000,95.183333,95.600000,0.465353,66.533333,85.200000,92.000000,95.000000,66.533333,76.516667,82.450000,86.433333,85.200000,90.550000,93.466667,95.100000,92.000000,95.183333,96.783333,97.750000,95.000000,97.116667,98.183333,98.766667,1.480979,9.267435,65.250000,85.183333,92.266667,95.250000,65.266667,75.566667,82.366667,86.383333,85.183333,91.033333,93.800000,95.350000,92.266667,95.600000,97.000000,97.850000,95.250000,97.250000,98.200000,98.750000,1.497338,9.056742
10,0.753180,0.753180,0.000000,95.083333,95.333333,0.500522,64.900000,84.700000,91.466667,95.016667,64.900000,74.666667,81.166667,85.450000,84.700000,90.116667,93.433333,95.183333,91.466667,95.083333,96.750000,97.800000,95.016667,97.200000,98.166667,98.766667,1.762127,11.518556,64.633333,85.516667,91.833333,95.200000,64.633333,74.633333,81.100000,85.383333,85.516667,90.800000,93.666667,95.300000,91.833333,95.333333,96.933333,97.850000,95.200000,97.366667,98.283333,98.800000,1.761839,11.346317
