seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
789,FT,freeze_head,40,0.030000,3240,1,1,82096,4784,9.411698,0.000000,79.683333,79.966667,45.900000,63.183333,73.483333,79.283333,45.900000,54.533333,61.733333,67.850000,63.183333,70.550000,76.066667,80.800000,73.483333,79.683333,83.750000,87.250000,79.283333,84.666667,87.683333,90.183333,3.831113,18.664981,46.366667,64.116667,73.416667,79.400000,46.366667,54.383333,61.300000,67.183333,64.116667,71.433333,76.966667,81.283333,73.416667,79.966667,84.433333,87.783333,79.400000,84.600000,87.950000,90.566667,3.994131,18.869776
789,FT,freeze_head,40,0.030000,3240,2,1,82096,4784,9.411698,0.000000,79.683333,79.966667,45.900000,63.183333,73.483333,79.283333,45.900000,54.533333,61.733333,67.850000,63.183333,70.550000,76.066667,80.800000,73.483333,79.683333,83.750000,87.250000,79.283333,84.666667,87.683333,90.183333,3.831113,18.664981,46.366667,64.116667,73.416667,79.400000,46.366667,54.383333,61.300000,67.183333,64.116667,71.433333,76.966667,81.283333,73.416667,79.966667,84.433333,87.783333,79.400000,84.600000,87.950000,90.566667,3.994131,18.869776
789,FT,freeze_head,40,0.030000,3240,3,3,82096,4784,9.411698,0.000000,81.466667,81.466667,48.650000,67.250000,75.816667,80.466667,48.666667,58.066667,65.066667,70.650000,67.266667,74.533333,79.150000,82.850000,75.833333,81.466667,84.683333,87.666667,80.466667,85.050000,87.666667,90.200000,3.350023,16.928714,48.750000,66.350000,75.666667,80.816667,48.766667,58.133333,65.316667,70.700000,66.350000,73.550000,78.600000,82.666667,75.666667,81.466667,85.150000,87.816667,80.816667,85.633333,88.416667,90.533333,3.372790,17.021808
789,FT,freeze_head,40,0.030000,3240,5,5,82096,4784,9.411698,0.000000,83.400000,83.800000,52.600000,70.616667,78.216667,82.100000,52.616667,62.366667,69.483333,74.800000,70.633333,77.183333,81.583333,85.266667,78.216667,83.400000,86.300000,89.266667,82.100000,86.433333,89.100000,91.300000,2.803373,15.670664,52.733333,70.533333,78.450000,82.683333,52.750000,62.266667,69.466667,74.783333,70.533333,77.133333,82.083333,85.433333,78.450000,83.800000,87.233333,89.583333,82.683333,87.050000,89.766667,91.683333,2.847158,15.968118
789,FT,freeze_head,40,0.030000,3240,8,7,82096,4784,9.411698,0.000000,84.400000,84.466667,53.950000,72.316667,79.133333,82.916667,53.950000,63.383333,70.483333,75.883333,72.333333,78.966667,82.883333,86.450000,79.133333,84.400000,87.366667,89.766667,82.916667,87.133333,89.633333,91.616667,2.878887,16.794530,54.183333,72.016667,79.100000,83.183333,54.200000,63.733333,71.033333,76.133333,72.016667,78.616667,83.333333,86.350000,79.100000,84.466667,88.033333,90.233333,83.183333,87.800000,90.466667,92.266667,2.827950,16.664781
789,FT,freeze_head,40,0.030000,3240,10,10,82096,4784,9.411698,0.000000,85.383333,86.133333,55.966667,73.683333,80.516667,84.650000,55.983333,66.033333,72.550000,77.616667,73.700000,80.183333,83.983333,87.283333,80.516667,85.383333,88.233333,90.533333,84.650000,88.316667,90.616667,92.300000,2.581416,15.247019,56.150000,74.033333,80.816667,84.683333,56.150000,66.083333,73.233333,78.016667,74.033333,80.633333,85.066667,87.700000,80.816667,86.133333,89.150000,91.116667,84.683333,88.766667,91.000000,92.583333,2.551819,14.826134
789,FT,freeze_head,40,0.030000,3240,12,12,82096,4784,9.411698,0.000000,85.883333,86.500000,57.033333,74.383333,81.250000,85.900000,57.050000,66.733333,73.150000,78.083333,74.400000,80.633333,84.433333,87.700000,81.250000,85.883333,88.583333,90.866667,85.900000,89.333333,91.366667,92.883333,2.540629,14.950256,57.800000,75.116667,81.566667,86.483333,57.800000,67.350000,74.383333,78.900000,75.116667,81.333333,85.450000,88.050000,81.566667,86.500000,89.333333,91.150000,86.483333,90.300000,92.200000,93.483333,2.445633,14.396480
