seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
789,FT,no_freeze,40,0.030000,3240,1,1,82096,82096,9.455220,0.000000,95.233333,94.900000,58.966667,83.100000,91.783333,95.000000,58.983333,69.550000,76.200000,80.933333,83.100000,88.666667,91.950000,94.000000,91.783333,95.233333,97.066667,98.083333,95.000000,97.033333,98.283333,98.966667,2.022503,11.497058,59.616667,82.300000,91.233333,94.750000,59.633333,70.200000,76.683333,81.266667,82.300000,88.216667,91.633333,93.600000,91.233333,94.900000,96.650000,97.566667,94.750000,97.033333,98.133333,98.783333,1.994007,11.439006
789,FT,no_freeze,40,0.030000,3240,2,2,82096,82096,9.455220,0.000000,96.033333,95.966667,64.283333,85.816667,92.750000,95.750000,64.300000,74.800000,80.033333,83.916667,85.833333,90.716667,93.300000,95.150000,92.750000,96.033333,97.450000,98.366667,95.750000,97.750000,98.733333,99.250000,1.742919,11.312454,64.916667,85.133333,92.483333,95.666667,64.933333,74.833333,80.883333,84.650000,85.133333,90.783333,93.783333,95.416667,92.483333,95.966667,97.650000,98.416667,95.666667,97.900000,98.750000,99.283333,1.624334,10.120688
789,FT,no_freeze,40,0.030000,3240,3,3,82096,82096,9.455220,0.000000,96.550000,96.633333,67.333333,86.833333,93.683333,96.766667,67.350000,77.483333,82.333333,85.933333,86.850000,91.900000,94.550000,96.316667,93.683333,96.550000,97.833333,98.700000,96.766667,98.216667,99.000000,99.366667,1.497076,9.738683,66.966667,86.466667,93.666667,96.583333,66.983333,77.433333,82.800000,85.950000,86.483333,92.066667,94.516667,96.133333,93.666667,96.633333,97.900000,98.666667,96.583333,98.200000,98.916667,99.316667,1.486421,9.705003
789,FT,no_freeze,40,0.030000,3240,5,5,82096,82096,9.455220,0.000000,96.866667,96.966667,69.733333,88.033333,94.366667,97.283333,69.750000,79.783333,84.550000,87.733333,88.033333,92.600000,95.050000,96.533333,94.366667,96.866667,98.116667,98.933333,97.283333,98.466667,99.183333,99.516667,1.275792,8.510117,69.450000,87.916667,94.466667,96.916667,69.466667,79.616667,84.600000,87.766667,87.916667,92.800000,95.066667,96.450000,94.466667,96.966667,98.133333,98.816667,96.916667,98.283333,98.950000,99.383333,1.340670,9.069264
789,FT,no_freeze,40,0.030000,3240,8,5,82096,82096,9.455220,0.000000,96.866667,96.966667,69.733333,88.033333,94.366667,97.283333,69.750000,79.783333,84.550000,87.733333,88.033333,92.600000,95.050000,96.533333,94.366667,96.866667,98.116667,98.933333,97.283333,98.466667,99.183333,99.516667,1.275792,8.510117,69.450000,87.916667,94.466667,96.916667,69.466667,79.616667,84.600000,87.766667,87.916667,92.800000,95.066667,96.450000,94.466667,96.966667,98.133333,98.816667,96.916667,98.283333,98.950000,99.383333,1.340670,9.069264
789,FT,no_freeze,40,0.030000,3240,10,10,82096,82096,9.455220,0.000000,97.016667,97.016667,71.266667,88.666667,94.650000,97.133333,71.283333,81.416667,86.050000,89.166667,88.666667,93.016667,95.383333,96.916667,94.650000,97.016667,98.216667,99.050000,97.133333,98.300000,99.083333,99.516667,1.208315,7.780839,70.366667,88.283333,94.583333,96.700000,70.383333,80.450000,85.283333,88.483333,88.283333,93.216667,95.283333,96.700000,94.583333,97.016667,98.150000,98.766667,96.700000,98.233333,98.983333,99.316667,1.313367,8.792955
789,FT,no_freeze,40,0.030000,3240,12,10,82096,82096,9.455220,0.000000,97.016667,97.016667,71.266667,88.666667,94.650000,97.133333,71.283333,81.416667,86.050000,89.166667,88.666667,93.016667,95.383333,96.916667,94.650000,97.016667,98.216667,99.050000,97.133333,98.300000,99.083333,99.516667,1.208315,7.780839,70.366667,88.283333,94.583333,96.700000,70.383333,80.450000,85.283333,88.483333,88.283333,93.216667,95.283333,96.700000,94.583333,97.016667,98.150000,98.766667,96.700000,98.233333,98.983333,99.316667,1.313367,8.792955
