epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,3.541660,3.541660,0.000000,89.233333,88.666667,0.496955,50.200000,72.966667,83.983333,89.816667,50.200000,58.866667,65.250000,69.700000,72.966667,80.166667,84.816667,87.533333,83.983333,89.233333,92.566667,94.250000,89.816667,93.750000,95.950000,97.083333,3.431326,17.055006,48.866667,72.583333,83.200000,88.566667,48.866667,57.600000,63.850000,68.950000,72.583333,79.183333,83.783333,86.733333,83.200000,88.666667,92.300000,94.483333,88.566667,92.833333,95.383333,96.850000,3.512632,17.135056
2,1.683460,1.683460,0.000000,92.633333,92.383333,0.572290,55.266667,78.266667,88.183333,92.533333,55.266667,65.300000,72.283333,76.850000,78.266667,84.800000,89.133333,91.900000,88.183333,92.633333,95.116667,96.333333,92.533333,95.816667,97.633333,98.316667,2.571002,15.002483,54.033333,77.516667,87.616667,92.566667,54.033333,64.216667,71.466667,76.766667,77.516667,84.583333,89.266667,92.083333,87.616667,92.383333,95.033333,96.666667,92.566667,95.616667,97.283333,98.266667,2.608027,14.777066
3,1.251336,1.251336,0.000000,94.350000,93.916667,0.500399,57.566667,80.750000,90.416667,94.183333,57.566667,67.350000,74.366667,79.066667,80.750000,86.966667,90.933333,93.000000,90.416667,94.350000,96.650000,97.483333,94.183333,96.883333,98.350000,98.816667,2.250840,13.323781,57.666667,80.233333,89.700000,93.950000,57.666667,67.650000,74.300000,79.283333,80.233333,86.833333,90.800000,92.866667,89.700000,93.916667,96.283333,97.366667,93.950000,96.566667,97.866667,98.600000,2.262612,13.245937
4,1.102505,1.102505,0.000000,94.950000,94.533333,0.516898,58.650000,82.366667,91.333333,94.850000,58.650000,69.216667,75.783333,80.183333,82.366667,88.400000,91.966667,93.933333,91.333333,94.950000,96.883333,97.683333,94.850000,97.383333,98.533333,98.916667,2.163663,13.123670,59.733333,81.883333,90.800000,94.616667,59.733333,69.666667,75.916667,80.100000,81.883333,87.866667,91.600000,93.500000,90.800000,94.533333,96.450000,97.450000,94.616667,97.000000,98.033333,98.633333,2.241862,13.450026
5,0.976929,0.976929,0.000000,95.100000,94.283333,0.539846,61.700000,83.283333,91.300000,94.700000,61.700000,72.200000,78.616667,82.683333,83.283333,89.350000,92.700000,94.683333,91.300000,95.100000,97.033333,97.800000,94.700000,97.233333,98.183333,98.533333,1.828136,11.030849,61.000000,82.716667,90.650000,94.633333,61.000000,71.000000,77.883333,82.183333,82.716667,88.416667,92.033333,93.916667,90.650000,94.283333,96.216667,97.233333,94.633333,96.850000,97.833333,98.383333,2.001004,12.157775
6,0.889856,0.889856,0.000000,95.550000,95.450000,0.519988,63.016667,84.116667,92.233333,95.300000,63.016667,73.300000,79.200000,82.916667,84.116667,89.816667,92.900000,94.616667,92.233333,95.550000,97.116667,97.733333,95.300000,97.416667,98.433333,98.716667,1.809061,11.279125,63.316667,84.366667,92.366667,95.483333,63.316667,72.800000,79.166667,82.833333,84.366667,89.650000,92.766667,94.383333,92.366667,95.450000,96.833333,97.616667,95.483333,97.483333,98.283333,98.666667,1.894377,11.732006
7,0.829711,0.829711,0.000000,95.550000,95.750000,0.510273,63.683333,84.366667,92.250000,95.600000,63.683333,73.700000,79.516667,83.250000,84.366667,89.816667,92.816667,94.616667,92.250000,95.550000,97.233333,97.900000,95.600000,97.766667,98.633333,98.933333,1.768615,10.938124,64.216667,85.233333,92.783333,95.766667,64.216667,73.500000,79.650000,83.183333,85.233333,90.316667,93.050000,94.583333,92.783333,95.750000,97.200000,97.866667,95.766667,97.516667,98.366667,98.666667,1.821682,11.322646
8,0.776111,0.776111,0.000000,96.100000,95.800000,0.513157,63.550000,85.083333,92.616667,95.700000,63.550000,73.883333,80.100000,83.716667,85.083333,90.583333,93.783333,95.466667,92.616667,96.100000,97.816667,98.400000,95.700000,97.933333,98.866667,99.083333,1.691109,10.607022,63.600000,85.533333,92.733333,95.683333,63.600000,73.166667,79.516667,83.483333,85.533333,90.683333,93.500000,95.266667,92.733333,95.800000,97.316667,98.050000,95.683333,97.500000,98.433333,98.866667,1.749496,11.117281
9,0.735286,0.735286,0.000000,96.066667,96.100000,0.540165,65.366667,85.266667,92.866667,96.066667,65.366667,75.233333,80.916667,84.533333,85.266667,90.666667,93.583333,95.283333,92.866667,96.066667,97.700000,98.200000,96.066667,98.050000,98.850000,99.083333,1.620168,10.301474,65.416667,86.116667,93.400000,96.133333,65.416667,74.650000,80.683333,84.216667,86.116667,91.150000,93.633333,95.150000,93.400000,96.100000,97.433333,98.000000,96.133333,97.766667,98.533333,98.900000,1.693980,10.881732
10,0.687301,0.687301,0.000000,96.250000,96.100000,0.504524,65.000000,85.200000,93.083333,96.050000,65.000000,75.016667,80.683333,84.216667,85.200000,90.550000,93.400000,95.083333,93.083333,96.250000,97.683333,98.200000,96.050000,98.133333,98.883333,99.133333,1.666856,10.547433,65.416667,85.883333,93.266667,96.333333,65.416667,74.933333,80.733333,84.250000,85.883333,90.850000,93.550000,94.950000,93.266667,96.100000,97.516667,98.183333,96.333333,97.833333,98.666667,98.983333,1.721984,11.093920
