seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
789,FT,freeze_cnn,80,0.010000,1080,1,1,82096,77312,5.765336,0.000000,71.400000,72.200000,37.950000,55.283333,64.183333,70.883333,37.950000,44.916667,51.583333,57.966667,55.300000,62.750000,68.800000,74.083333,64.200000,71.400000,76.750000,81.183333,70.900000,77.750000,82.183333,85.766667,5.014159,20.602827,36.900000,54.916667,64.383333,71.183333,36.900000,45.250000,51.133333,57.500000,54.916667,63.133333,68.566667,74.266667,64.383333,72.200000,77.250000,82.033333,71.200000,77.983333,82.383333,86.150000,4.992349,20.285535
789,FT,freeze_cnn,80,0.010000,1080,2,2,82096,77312,5.765336,0.000000,74.533333,74.933333,37.933333,56.050000,66.783333,74.600000,37.933333,45.366667,52.483333,58.783333,56.066667,64.233333,71.366667,76.766667,66.800000,74.533333,80.483333,84.616667,74.616667,80.783333,85.033333,88.216667,5.023793,19.852383,38.050000,55.100000,66.883333,74.833333,38.050000,46.533333,53.283333,59.483333,55.100000,64.266667,70.833333,76.833333,66.883333,74.933333,80.816667,85.466667,74.833333,81.300000,85.416667,88.866667,4.846962,19.803917
789,FT,freeze_cnn,80,0.010000,1080,3,3,82096,77312,5.765336,0.000000,78.533333,78.966667,46.233333,61.866667,71.850000,78.250000,46.250000,54.366667,61.583333,67.700000,61.883333,69.400000,75.983333,80.250000,71.866667,78.533333,83.266667,86.516667,78.266667,83.400000,86.783333,89.066667,3.691437,17.853009,45.950000,61.816667,71.750000,78.333333,45.950000,55.616667,62.100000,67.700000,61.816667,70.450000,76.033333,80.916667,71.750000,78.966667,83.566667,87.300000,78.333333,83.883333,87.450000,90.066667,3.570129,17.614963
789,FT,freeze_cnn,80,0.010000,1080,5,5,82096,77312,5.765336,0.000000,85.050000,84.883333,45.066667,68.016667,79.716667,86.116667,45.066667,53.266667,59.950000,65.100000,68.016667,75.466667,80.733333,84.550000,79.716667,85.050000,88.750000,90.800000,86.116667,90.183333,92.483333,93.783333,4.016563,17.878098,44.866667,67.133333,78.883333,85.416667,44.866667,53.883333,60.383333,65.666667,67.133333,75.450000,80.683333,84.583333,78.883333,84.883333,88.483333,91.000000,85.416667,89.900000,92.433333,93.983333,3.900936,17.787477
789,FT,freeze_cnn,80,0.010000,1080,8,8,82096,77312,5.765336,0.000000,88.916667,89.000000,51.950000,73.966667,83.966667,89.600000,51.966667,60.583333,67.383333,71.983333,73.983333,80.716667,85.683333,88.700000,83.983333,88.916667,92.250000,93.733333,89.600000,93.050000,95.016667,96.150000,3.175930,16.547614,52.916667,73.400000,83.866667,90.233333,52.916667,62.283333,68.416667,72.933333,73.400000,80.900000,85.716667,88.950000,83.866667,89.000000,91.816667,93.833333,90.233333,93.383333,95.133333,96.216667,3.058502,16.568313
789,FT,freeze_cnn,80,0.010000,1080,10,10,82096,77312,5.765336,0.000000,90.800000,91.166667,54.850000,76.583333,86.133333,91.750000,54.866667,63.016667,69.116667,73.233333,76.600000,83.166667,87.583333,90.200000,86.150000,90.800000,93.666667,94.966667,91.750000,94.916667,96.450000,97.333333,3.179501,17.233274,54.466667,76.316667,86.733333,92.500000,54.466667,63.350000,69.300000,73.666667,76.316667,83.200000,87.350000,90.383333,86.733333,91.166667,93.700000,95.316667,92.500000,95.300000,96.816667,97.583333,3.135414,17.484490
789,FT,freeze_cnn,80,0.010000,1080,12,12,82096,77312,5.765336,0.000000,91.550000,91.800000,55.966667,77.300000,87.516667,92.050000,55.983333,64.300000,70.316667,74.466667,77.316667,83.633333,87.716667,90.150000,87.533333,91.550000,93.950000,95.166667,92.066667,94.766667,96.350000,97.050000,3.031807,16.876598,56.716667,77.566667,87.600000,92.683333,56.716667,65.700000,71.433333,75.866667,77.566667,84.400000,88.266667,90.800000,87.600000,91.800000,93.966667,95.416667,92.683333,95.300000,96.650000,97.400000,2.879402,16.657436
