epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,3.786440,3.786440,0.000000,90.883333,90.766667,0.399643,58.700000,78.116667,86.250000,90.366667,58.700000,67.783333,75.250000,80.666667,78.116667,84.850000,89.616667,92.883333,86.250000,90.883333,93.950000,95.983333,90.366667,93.950000,96.033333,97.366667,1.926200,10.744252,58.466667,78.916667,86.233333,89.983333,58.466667,68.000000,75.083333,80.516667,78.916667,85.233333,89.400000,92.433333,86.233333,90.766667,93.516667,95.516667,89.983333,93.366667,95.750000,97.050000,1.993914,11.511677
2,1.920339,1.920339,0.000000,93.166667,93.150000,0.397782,63.600000,81.750000,89.300000,92.733333,63.600000,73.016667,79.950000,84.566667,81.750000,87.650000,91.583333,94.100000,89.300000,93.166667,95.650000,97.083333,92.733333,95.566667,97.316667,98.183333,1.633042,9.589621,64.016667,82.683333,89.266667,92.783333,64.016667,73.366667,79.783333,84.683333,82.683333,88.166667,91.433333,93.866667,89.266667,93.150000,95.183333,96.883333,92.783333,95.500000,96.933333,97.966667,1.642021,10.209402
3,1.341315,1.341315,0.000000,93.916667,93.750000,0.451740,64.700000,83.266667,90.250000,93.483333,64.700000,73.866667,80.333333,84.533333,83.266667,88.783333,92.483333,94.516667,90.250000,93.916667,96.050000,97.266667,93.483333,96.083333,97.616667,98.483333,1.726735,11.067512,65.133333,83.833333,90.083333,93.000000,65.133333,74.200000,80.416667,84.533333,83.833333,89.183333,92.400000,94.383333,90.083333,93.750000,95.716667,97.033333,93.000000,95.666667,97.183333,98.083333,1.720212,11.207404
4,1.102457,1.102457,0.000000,94.150000,94.033333,0.422418,65.600000,84.150000,90.716667,93.616667,65.600000,75.166667,81.700000,85.950000,84.150000,89.650000,93.166667,94.983333,90.716667,94.150000,96.333333,97.416667,93.616667,95.983333,97.583333,98.316667,1.533430,9.313367,66.400000,84.783333,90.416667,93.433333,66.400000,76.033333,81.833333,85.750000,84.783333,89.683333,92.533333,94.350000,90.416667,94.033333,95.900000,97.200000,93.433333,95.916667,97.300000,98.116667,1.518796,9.253183
5,0.970473,0.970473,0.000000,94.600000,94.616667,0.431009,67.683333,85.183333,91.333333,94.366667,67.683333,76.900000,83.150000,87.016667,85.183333,90.266667,93.500000,95.050000,91.333333,94.600000,96.533333,97.516667,94.366667,96.600000,97.866667,98.533333,1.465930,9.316321,67.866667,85.516667,91.216667,94.400000,67.866667,77.050000,82.666667,86.483333,85.516667,90.233333,93.166667,94.950000,91.216667,94.616667,96.450000,97.366667,94.400000,96.633333,97.800000,98.416667,1.495978,9.929854
6,0.881761,0.881761,0.000000,95.033333,95.083333,0.411803,67.900000,85.816667,92.000000,94.350000,67.900000,77.050000,83.316667,87.233333,85.816667,90.616667,93.700000,95.433333,92.000000,95.033333,96.816667,97.716667,94.350000,96.483333,97.850000,98.516667,1.390332,8.745562,68.116667,86.000000,91.866667,94.616667,68.116667,77.500000,83.083333,86.966667,86.000000,90.683333,93.300000,95.033333,91.866667,95.083333,96.666667,97.616667,94.616667,96.833333,97.950000,98.500000,1.430679,8.923947
7,0.823042,0.823042,0.000000,95.233333,95.500000,0.402659,68.583333,86.016667,92.166667,94.766667,68.583333,77.883333,84.150000,88.100000,86.016667,90.950000,93.833333,95.483333,92.166667,95.233333,96.850000,97.783333,94.766667,96.816667,98.083333,98.666667,1.301861,7.931673,68.516667,86.216667,92.333333,94.983333,68.516667,77.883333,83.416667,87.250000,86.216667,90.750000,93.583333,95.250000,92.333333,95.500000,97.050000,97.866667,94.983333,97.033333,98.116667,98.583333,1.397528,8.816780
8,0.766990,0.766990,0.000000,95.416667,95.716667,0.440242,68.150000,86.450000,92.416667,94.883333,68.150000,77.250000,83.316667,87.116667,86.450000,91.100000,94.016667,95.500000,92.416667,95.416667,97.183333,98.016667,94.883333,97.016667,98.250000,98.783333,1.439412,8.948909,68.233333,86.583333,92.633333,95.150000,68.233333,77.583333,83.116667,86.616667,86.583333,91.416667,93.900000,95.433333,92.633333,95.716667,97.166667,97.950000,95.150000,97.250000,98.333333,98.766667,1.490984,9.375789
9,0.721018,0.721018,0.000000,95.383333,95.616667,0.430715,68.783333,86.750000,92.400000,95.216667,68.783333,77.900000,84.016667,87.800000,86.750000,91.333333,94.233333,95.816667,92.400000,95.383333,97.066667,97.883333,95.216667,97.116667,98.233333,98.733333,1.303405,8.165420,69.316667,86.716667,92.383333,95.116667,69.316667,78.433333,83.783333,87.383333,86.716667,91.350000,93.800000,95.333333,92.383333,95.616667,97.150000,97.933333,95.116667,97.183333,98.233333,98.733333,1.345066,8.515019
10,0.691035,0.691035,0.000000,95.616667,95.666667,0.382960,69.200000,86.716667,92.700000,95.116667,69.200000,78.200000,84.300000,88.183333,86.716667,91.500000,94.316667,95.850000,92.700000,95.616667,97.266667,98.100000,95.116667,97.216667,98.350000,98.850000,1.352227,8.531445,69.466667,86.983333,92.566667,95.283333,69.466667,78.616667,83.750000,87.383333,86.983333,91.933333,94.516667,96.000000,92.566667,95.666667,97.300000,98.083333,95.283333,97.366667,98.450000,98.900000,1.453223,9.349930
