epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,2.884789,2.884789,0.000000,93.516667,94.233333,0.455345,62.800000,81.933333,89.383333,93.800000,62.800000,72.483333,79.816667,84.250000,81.933333,88.250000,92.150000,94.200000,89.383333,93.516667,95.750000,96.966667,93.800000,96.516667,97.866667,98.600000,1.532432,8.498529,61.800000,82.616667,90.083333,93.766667,61.816667,71.466667,79.350000,84.183333,82.616667,88.550000,92.166667,94.300000,90.083333,94.233333,96.416667,97.566667,93.766667,96.583333,97.883333,98.516667,1.657412,10.467901
2,1.205260,1.205260,0.000000,96.266667,96.250000,0.465067,69.383333,86.550000,92.916667,95.683333,69.383333,78.916667,84.816667,87.800000,86.550000,91.716667,94.650000,96.283333,92.916667,96.266667,97.716667,98.383333,95.683333,97.900000,98.866667,99.266667,1.241145,7.970569,69.416667,86.716667,93.200000,96.033333,69.433333,78.666667,84.350000,87.616667,86.716667,91.833333,94.633333,96.133333,93.200000,96.250000,97.666667,98.366667,96.033333,97.900000,98.733333,99.216667,1.327202,8.507998
3,0.847472,0.847472,0.000000,96.716667,96.683333,0.449561,72.066667,88.683333,94.166667,96.416667,72.066667,80.883333,86.200000,89.083333,88.683333,93.183333,95.733333,96.950000,94.166667,96.716667,98.083333,98.716667,96.416667,98.200000,98.933333,99.350000,1.092868,6.606403,72.366667,88.916667,93.966667,96.700000,72.383333,81.016667,86.066667,89.250000,88.916667,93.366667,95.550000,96.700000,93.966667,96.683333,97.850000,98.533333,96.700000,98.250000,98.950000,99.316667,1.126563,7.162828
4,0.696851,0.696851,0.000000,96.916667,96.866667,0.469892,73.433333,89.550000,94.233333,96.583333,73.433333,82.133333,87.133333,89.766667,89.550000,93.566667,95.800000,97.016667,94.233333,96.916667,98.116667,98.750000,96.583333,98.266667,98.950000,99.333333,1.092078,6.540412,73.783333,89.100000,94.200000,96.700000,73.800000,82.416667,87.016667,89.883333,89.100000,93.666667,95.750000,96.816667,94.200000,96.866667,97.933333,98.483333,96.700000,98.316667,99.033333,99.350000,1.138062,7.167603
5,0.616245,0.616245,0.000000,97.016667,97.050000,0.564830,74.033333,89.600000,94.650000,96.883333,74.033333,82.733333,87.716667,90.300000,89.600000,93.566667,95.916667,97.066667,94.650000,97.016667,98.283333,98.800000,96.883333,98.550000,99.150000,99.500000,0.995011,6.077050,74.216667,89.750000,94.766667,97.200000,74.233333,82.866667,87.600000,90.366667,89.750000,94.083333,96.150000,97.166667,94.766667,97.050000,98.200000,98.716667,97.200000,98.600000,99.250000,99.483333,1.032633,6.489705
6,0.575206,0.575206,0.000000,97.133333,97.233333,0.487853,74.083333,89.850000,94.783333,97.100000,74.083333,83.050000,88.150000,90.766667,89.850000,93.866667,96.183333,97.433333,94.783333,97.133333,98.200000,98.816667,97.100000,98.500000,99.066667,99.466667,0.963855,5.662584,74.400000,89.850000,94.816667,97.200000,74.416667,83.300000,88.333333,90.883333,89.850000,94.050000,96.250000,97.366667,94.816667,97.233333,98.350000,98.900000,97.200000,98.550000,99.183333,99.516667,0.997003,6.122276
7,0.546203,0.546203,0.000000,97.216667,97.150000,0.468058,74.633333,89.833333,94.950000,97.116667,74.633333,83.633333,88.700000,91.300000,89.833333,93.916667,96.266667,97.416667,94.950000,97.216667,98.383333,98.950000,97.116667,98.600000,99.233333,99.550000,0.890051,5.189325,74.800000,90.150000,94.883333,97.166667,74.816667,83.700000,88.550000,91.166667,90.150000,94.300000,96.383333,97.433333,94.883333,97.150000,98.316667,98.850000,97.166667,98.550000,99.216667,99.500000,0.943013,5.784636
8,0.519996,0.519996,0.000000,97.183333,97.116667,0.457853,74.166667,89.650000,94.866667,97.166667,74.166667,83.066667,88.183333,90.816667,89.650000,94.050000,96.300000,97.433333,94.866667,97.183333,98.300000,98.900000,97.166667,98.650000,99.300000,99.566667,0.976947,5.955193,74.233333,89.883333,94.866667,97.100000,74.250000,82.650000,87.833333,90.550000,89.900000,94.033333,96.350000,97.433333,94.866667,97.116667,98.350000,98.866667,97.100000,98.483333,99.216667,99.466667,1.002982,6.280760
9,0.501451,0.501451,0.000000,97.400000,97.166667,0.439531,74.100000,89.916667,95.150000,97.150000,74.100000,83.250000,88.533333,91.300000,89.916667,94.050000,96.383333,97.550000,95.150000,97.400000,98.600000,99.100000,97.150000,98.566667,99.283333,99.583333,0.922990,5.287220,74.033333,89.883333,94.766667,97.100000,74.050000,83.383333,88.383333,91.083333,89.883333,94.216667,96.516667,97.516667,94.766667,97.166667,98.383333,99.016667,97.100000,98.466667,99.283333,99.516667,0.968080,5.823952
10,0.485799,0.485799,0.000000,97.316667,97.283333,0.438325,74.833333,90.450000,95.216667,97.216667,74.833333,83.783333,88.983333,91.433333,90.450000,94.466667,96.650000,97.700000,95.216667,97.316667,98.433333,98.983333,97.216667,98.616667,99.216667,99.533333,0.910723,5.372255,75.166667,90.100000,95.116667,97.316667,75.183333,84.183333,89.033333,91.566667,90.116667,94.250000,96.566667,97.616667,95.116667,97.283333,98.433333,99.000000,97.316667,98.616667,99.283333,99.516667,0.927200,5.514195
