blocked_beam,seed_values,seed_count,blockage_%,ft_freeze,ft_train_frac,ft_epochs,ft_primary_%,ft_primary_seed_std,blag_primary_%,blag_primary_seed_std,blaw_primary_%,blaw_primary_seed_std
B0,123+456+789,3,0,freeze_cnn,0.010000,10,98.522222,0.143694,98.522222,0.143694,98.522222,0.143694
B0,123+456+789,3,20,freeze_cnn,0.010000,10,96.466666,0.404145,80.450000,0.767210,98.183333,0.033334
B0,123+456+789,3,40,freeze_cnn,0.010000,10,94.800000,0.447524,70.888889,1.283694,97.911111,0.191727
B0,123+456+789,3,60,freeze_cnn,0.010000,10,93.372222,0.895410,65.611111,3.380267,97.461111,0.221944
B0,123+456+789,3,80,freeze_cnn,0.010000,10,92.444445,1.165753,59.316667,7.795850,97.305555,0.134715
B0,123+456+789,3,100,freeze_cnn,0.010000,10,91.894444,1.356602,53.883333,12.142636,97.361111,0.138778
B2,123+456+789,3,0,freeze_cnn,0.010000,10,98.522222,0.143694,98.522222,0.143694,98.522222,0.143694
B2,123+456+789,3,20,freeze_cnn,0.010000,10,96.600000,0.280377,91.188889,0.422076,98.388889,0.067358
B2,123+456+789,3,40,freeze_cnn,0.010000,10,95.155556,0.463182,87.027778,0.380180,98.094444,0.312843
B2,123+456+789,3,60,freeze_cnn,0.010000,10,94.633334,0.202073,82.272222,0.834221,98.055556,0.183585
B2,123+456+789,3,80,freeze_cnn,0.010000,10,94.144445,0.438537,76.177778,2.171170,98.050000,0.125831
B2,123+456+789,3,100,freeze_cnn,0.010000,10,93.638889,0.283986,70.455556,3.060789,97.905555,0.242861
B3,123+456+789,3,0,freeze_cnn,0.010000,10,98.522222,0.143694,98.522222,0.143694,98.522222,0.143694
B3,123+456+789,3,20,freeze_cnn,0.010000,10,97.294444,0.443888,93.166667,0.360940,98.294444,0.276050
B3,123+456+789,3,40,freeze_cnn,0.010000,10,96.522222,0.711870,84.883333,0.338296,98.344444,0.019245
B3,123+456+789,3,60,freeze_cnn,0.010000,10,95.555556,0.830216,77.583333,1.235246,98.183333,0.044096
B3,123+456+789,3,80,freeze_cnn,0.010000,10,94.988889,0.798320,72.433334,2.626944,98.166667,0.083334
B3,123+456+789,3,100,freeze_cnn,0.010000,10,94.200000,0.991772,69.222222,3.390605,98.027778,0.075154
B5,123+456+789,3,0,freeze_cnn,0.010000,10,98.522222,0.143694,98.522222,0.143694,98.522222,0.143694
B5,123+456+789,3,20,freeze_cnn,0.010000,10,96.483333,0.350000,85.061111,1.368833,98.300000,0.164147
B5,123+456+789,3,40,freeze_cnn,0.010000,10,94.244444,0.416778,80.127778,2.651013,98.127778,0.160151
B5,123+456+789,3,60,freeze_cnn,0.010000,10,93.277778,0.740183,75.722222,1.417385,97.522222,0.323322
B5,123+456+789,3,80,freeze_cnn,0.010000,10,92.422222,0.991679,70.138889,2.596704,97.394444,0.315054
B5,123+456+789,3,100,freeze_cnn,0.010000,10,91.794444,1.390477,64.655556,6.718658,97.311111,0.359140
B7,123+456+789,3,0,freeze_cnn,0.010000,10,98.522222,0.143694,98.522222,0.143694,98.522222,0.143694
B7,123+456+789,3,20,freeze_cnn,0.010000,10,97.316667,0.491878,88.194444,0.831720,98.538889,0.100462
B7,123+456+789,3,40,freeze_cnn,0.010000,10,96.505556,0.442635,83.972222,0.854779,98.322222,0.237073
B7,123+456+789,3,60,freeze_cnn,0.010000,10,96.061111,0.318997,84.166666,2.133268,97.933334,0.144338
B7,123+456+789,3,80,freeze_cnn,0.010000,10,95.655555,0.317251,83.311111,2.521592,98.016667,0.216667
B7,123+456+789,3,100,freeze_cnn,0.010000,10,95.011111,0.197437,80.833333,1.605806,97.972222,0.277055
