epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,2.051212,2.051212,0.000000,94.316667,95.183333,0.480045,61.650000,83.033333,91.183333,95.000000,61.650000,70.966667,77.166667,81.483333,83.033333,88.200000,91.833333,93.716667,91.183333,94.316667,96.566667,97.450000,95.000000,96.766667,98.133333,98.783333,2.101786,13.176111,62.516667,84.183333,91.933333,95.383333,62.533333,71.750000,77.566667,82.033333,84.200000,89.700000,92.966667,95.050000,91.933333,95.183333,97.016667,97.916667,95.383333,97.400000,98.483333,98.983333,2.023547,12.699220
2,1.021125,1.021125,0.000000,95.616667,96.083333,0.474188,65.866667,85.583333,93.050000,96.016667,65.866667,74.616667,80.466667,84.566667,85.583333,90.250000,93.350000,95.216667,93.050000,95.616667,97.400000,98.133333,96.016667,97.466667,98.633333,99.116667,1.664592,10.794729,67.866667,86.916667,93.250000,96.150000,67.866667,76.900000,81.883333,85.700000,86.916667,91.683333,94.366667,95.833333,93.250000,96.083333,97.650000,98.450000,96.150000,98.016667,98.833333,99.283333,1.547477,10.343435
3,0.834134,0.834134,0.000000,96.000000,96.483333,0.506372,67.616667,86.566667,93.533333,96.316667,67.616667,75.916667,81.666667,85.583333,86.566667,91.250000,93.966667,95.666667,93.533333,96.000000,97.633333,98.350000,96.316667,97.783333,98.800000,99.200000,1.581155,10.604309,69.316667,87.633333,93.900000,96.550000,69.316667,78.683333,83.716667,87.083333,87.633333,92.266667,94.816667,96.250000,93.900000,96.483333,98.066667,98.700000,96.550000,98.250000,98.983333,99.383333,1.417758,9.864181
4,0.745148,0.745148,0.000000,96.400000,96.650000,0.481159,68.200000,87.366667,93.833333,96.683333,68.200000,76.350000,81.833333,85.600000,87.366667,91.800000,94.350000,95.983333,93.833333,96.400000,97.916667,98.633333,96.683333,97.900000,98.833333,99.233333,1.582765,10.719581,69.550000,88.500000,94.083333,96.600000,69.550000,78.666667,83.650000,86.933333,88.500000,92.700000,95.133333,96.466667,94.083333,96.650000,98.183333,98.850000,96.600000,98.233333,98.950000,99.366667,1.432245,10.042892
5,0.697617,0.697617,0.000000,96.583333,96.783333,0.579582,68.966667,88.066667,94.033333,96.666667,68.966667,77.583333,83.016667,86.583333,88.066667,92.183333,94.666667,96.200000,94.033333,96.583333,98.050000,98.733333,96.666667,98.000000,98.966667,99.316667,1.474152,10.201045,69.983333,88.383333,94.383333,96.716667,70.000000,79.250000,84.233333,87.500000,88.400000,92.666667,94.950000,96.250000,94.383333,96.783333,98.100000,98.766667,96.716667,98.183333,98.950000,99.433333,1.358076,9.276911
6,0.671810,0.671810,0.000000,96.350000,96.716667,0.478657,68.466667,87.500000,93.866667,96.750000,68.466667,76.900000,82.216667,85.983333,87.500000,91.750000,94.366667,95.983333,93.866667,96.350000,97.716667,98.500000,96.750000,98.066667,99.050000,99.350000,1.547553,10.518158,69.266667,88.000000,94.233333,96.700000,69.266667,78.366667,83.216667,86.466667,88.000000,92.400000,94.900000,96.300000,94.233333,96.716667,98.050000,98.733333,96.700000,98.250000,99.016667,99.416667,1.486531,10.415082
7,0.644817,0.644817,0.000000,96.433333,96.733333,0.619884,69.266667,88.183333,94.000000,96.866667,69.266667,77.616667,83.133333,86.800000,88.183333,92.366667,94.750000,96.316667,94.000000,96.433333,97.866667,98.583333,96.866667,98.116667,99.016667,99.383333,1.436116,9.797323,70.650000,88.400000,94.383333,96.733333,70.650000,79.433333,84.300000,87.783333,88.400000,92.733333,95.100000,96.533333,94.383333,96.733333,98.066667,98.850000,96.733333,98.366667,99.016667,99.466667,1.348585,9.236044
8,0.616724,0.616724,0.000000,96.633333,96.933333,0.514633,68.500000,88.016667,94.350000,96.883333,68.500000,77.116667,82.650000,86.416667,88.016667,92.050000,94.766667,96.183333,94.350000,96.633333,98.166667,98.733333,96.883333,98.133333,99.033333,99.366667,1.500993,10.126202,69.533333,88.650000,94.550000,96.533333,69.550000,78.650000,83.516667,87.150000,88.666667,92.683333,94.866667,96.400000,94.550000,96.933333,98.233333,98.816667,96.533333,98.250000,98.950000,99.400000,1.429309,9.370726
9,0.599645,0.599645,0.000000,96.550000,97.000000,0.507029,69.666667,88.466667,94.300000,96.916667,69.666667,78.366667,83.650000,87.183333,88.466667,92.500000,94.650000,96.200000,94.300000,96.550000,97.883333,98.600000,96.916667,98.166667,99.116667,99.400000,1.434378,9.797323,70.566667,88.600000,94.550000,96.650000,70.566667,79.583333,84.716667,87.733333,88.600000,92.716667,95.100000,96.466667,94.550000,97.000000,98.200000,98.800000,96.650000,98.300000,98.950000,99.383333,1.364269,9.504428
10,0.584951,0.584951,0.000000,96.533333,96.750000,0.511806,69.900000,88.283333,94.100000,96.700000,69.900000,78.066667,83.050000,86.550000,88.283333,92.266667,94.583333,96.133333,94.100000,96.533333,97.916667,98.600000,96.700000,98.083333,98.966667,99.333333,1.496401,10.350916,70.550000,88.466667,94.250000,96.633333,70.566667,79.366667,84.233333,87.183333,88.483333,92.633333,95.000000,96.300000,94.250000,96.750000,98.083333,98.766667,96.633333,98.283333,99.033333,99.466667,1.421401,10.217897
11,0.580484,0.580484,0.000000,96.750000,97.166667,0.499171,69.966667,88.183333,94.283333,96.983333,69.966667,78.400000,83.916667,87.466667,88.183333,92.233333,94.733333,96.400000,94.283333,96.750000,98.050000,98.616667,96.983333,98.300000,99.183333,99.483333,1.366979,9.472445,71.066667,88.333333,94.616667,96.600000,71.066667,79.900000,85.000000,88.200000,88.350000,92.650000,95.216667,96.566667,94.616667,97.166667,98.333333,98.916667,96.600000,98.166667,98.933333,99.350000,1.289874,8.994231
12,0.564001,0.564001,0.000000,96.750000,97.016667,0.518243,69.683333,88.300000,94.333333,96.983333,69.683333,77.966667,83.100000,86.566667,88.300000,92.333333,94.916667,96.466667,94.333333,96.750000,98.216667,98.783333,96.983333,98.300000,99.233333,99.483333,1.470063,10.093144,70.250000,88.633333,94.483333,96.683333,70.250000,79.150000,84.000000,87.000000,88.650000,92.700000,95.133333,96.466667,94.483333,97.016667,98.283333,98.833333,96.683333,98.283333,99.033333,99.416667,1.398327,9.622314
