epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,1.095306,1.095306,0.000000,96.083333,96.350000,8.742783,66.266667,86.216667,93.616667,96.316667,66.266667,75.633333,81.416667,84.633333,86.216667,90.500000,93.583333,95.133333,93.616667,96.083333,97.733333,98.383333,96.316667,98.000000,98.933333,99.433333,1.671545,10.932614,66.750000,86.050000,93.616667,96.333333,66.766667,75.916667,81.466667,85.166667,86.050000,90.966667,93.733333,95.166667,93.616667,96.350000,97.666667,98.316667,96.333333,98.100000,98.850000,99.350000,1.692278,11.438113
2,0.844889,0.844889,0.000000,96.533333,96.866667,8.980880,68.650000,87.850000,94.150000,96.783333,68.650000,77.550000,82.566667,85.666667,87.850000,91.683333,94.483333,96.100000,94.150000,96.533333,97.900000,98.683333,96.783333,98.266667,99.066667,99.450000,1.523327,10.242414,68.633333,87.666667,94.433333,96.966667,68.650000,77.616667,83.083333,86.233333,87.666667,91.933333,94.500000,95.683333,94.433333,96.866667,98.083333,98.750000,96.966667,98.533333,99.100000,99.433333,1.487792,9.958526
3,0.819066,0.819066,0.000000,96.716667,97.200000,8.832205,68.816667,88.216667,94.416667,96.850000,68.816667,77.916667,83.066667,85.866667,88.216667,92.133333,95.000000,96.300000,94.416667,96.716667,97.916667,98.716667,96.850000,98.416667,99.050000,99.483333,1.498251,10.095454,69.283333,87.966667,94.733333,96.950000,69.300000,77.983333,83.416667,86.550000,87.983333,92.250000,94.766667,96.100000,94.733333,97.200000,98.266667,98.883333,96.950000,98.416667,99.016667,99.433333,1.458821,9.745188
4,0.801306,0.801306,0.000000,96.833333,96.883333,9.051675,69.466667,88.233333,94.650000,96.850000,69.466667,78.400000,83.333333,86.050000,88.233333,91.966667,94.800000,96.216667,94.650000,96.833333,98.116667,98.716667,96.850000,98.266667,99.100000,99.500000,1.455277,9.913251,70.133333,88.133333,94.516667,96.883333,70.150000,78.550000,83.366667,86.550000,88.150000,92.316667,94.766667,96.033333,94.516667,96.883333,98.133333,98.766667,96.883333,98.483333,99.150000,99.483333,1.463151,9.837413
5,0.792920,0.792920,0.000000,96.683333,97.183333,8.979454,69.650000,88.050000,94.283333,96.833333,69.650000,78.116667,83.483333,86.216667,88.050000,91.966667,94.983333,96.350000,94.283333,96.683333,98.033333,98.766667,96.833333,98.383333,99.133333,99.550000,1.450718,9.955877,69.983333,88.066667,94.716667,97.050000,70.000000,78.000000,83.250000,86.500000,88.083333,92.333333,94.900000,96.183333,94.716667,97.183333,98.250000,98.783333,97.050000,98.466667,99.033333,99.400000,1.475128,9.909266
6,0.783758,0.783758,0.000000,96.716667,97.083333,9.091270,70.083333,88.566667,94.633333,97.000000,70.083333,78.783333,83.700000,86.550000,88.566667,92.200000,95.166667,96.500000,94.633333,96.716667,97.966667,98.750000,97.000000,98.383333,99.166667,99.516667,1.387298,9.543532,70.550000,88.116667,94.683333,97.100000,70.566667,78.783333,83.783333,86.900000,88.133333,92.383333,94.983333,96.300000,94.683333,97.083333,98.266667,98.833333,97.100000,98.566667,99.166667,99.416667,1.421300,9.724669
7,0.779018,0.779018,0.000000,96.566667,97.183333,9.094761,70.150000,88.150000,94.450000,96.883333,70.150000,78.716667,83.650000,86.433333,88.150000,91.816667,94.616667,96.266667,94.450000,96.566667,98.033333,98.783333,96.883333,98.250000,99.116667,99.500000,1.458219,10.112375,71.183333,88.333333,94.733333,97.066667,71.200000,78.850000,83.650000,86.616667,88.333333,92.400000,94.766667,96.016667,94.733333,97.183333,98.250000,98.916667,97.066667,98.566667,99.100000,99.450000,1.454033,9.980767
8,0.770496,0.770496,0.000000,96.916667,97.266667,9.283520,70.050000,88.266667,94.733333,97.033333,70.050000,79.033333,84.116667,87.366667,88.266667,92.116667,95.033333,96.500000,94.733333,96.916667,98.183333,98.966667,97.033333,98.333333,99.050000,99.450000,1.325277,9.027757,69.833333,88.650000,94.783333,97.233333,69.850000,78.366667,83.950000,87.316667,88.650000,92.750000,95.166667,96.566667,94.783333,97.266667,98.450000,98.983333,97.233333,98.616667,99.100000,99.433333,1.356497,8.722054
9,0.767782,0.767782,0.000000,97.133333,97.266667,8.777001,70.300000,88.666667,94.966667,97.000000,70.300000,78.683333,83.966667,86.833333,88.666667,91.983333,94.700000,96.200000,94.966667,97.133333,98.350000,98.916667,97.000000,98.350000,99.083333,99.500000,1.419766,9.907642,70.250000,88.666667,94.850000,97.266667,70.266667,78.850000,83.700000,86.700000,88.666667,92.666667,95.016667,96.233333,94.850000,97.266667,98.416667,98.950000,97.266667,98.683333,99.216667,99.516667,1.460500,9.980767
10,0.757573,0.757573,0.000000,96.833333,97.383333,8.701535,70.850000,88.433333,94.600000,96.950000,70.850000,79.633333,84.700000,87.400000,88.433333,92.133333,95.100000,96.616667,94.600000,96.833333,98.200000,98.983333,96.950000,98.466667,99.116667,99.516667,1.333881,9.468011,71.016667,88.483333,94.733333,97.083333,71.033333,79.433333,84.283333,87.200000,88.483333,92.850000,95.216667,96.483333,94.733333,97.383333,98.433333,98.966667,97.083333,98.650000,99.150000,99.483333,1.385772,9.648045
